time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
1921.75,296,'C418',147.7419,52.4230,2.7591,66.4838,2.7920,0.0000,0.0000,73.1322,0.7036,0.0000,0.0000,73.1322,0.7036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6252,0.0156,0.0000,0.0000,6.5006,0.0625,0.0000,0.0000,0.0000,2.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.4420,1.1602,0.0000,0.0000,0.3588,0.0152,0.0000,0.0000,66.4838,2.7920,0.0000,0.0000,73.1322,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.8089,0.1118,0.0000,0.0000,35.6835,0.6865,0.0000,0.0000,1.6770,0.0326,0.0000,0.0000,10.3015,0.2005,0.0000,0.0000
1922.75,296,'C418',163.7246,57.3046,3.0160,73.6275,2.9362,0.0000,0.0000,81.0874,0.7410,0.0000,0.0000,81.0874,0.7410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8019,0.0165,0.0000,0.0000,7.2078,0.0659,0.0000,0.0000,0.0000,2.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.3190,0.2824,0.0000,0.0000,0.3821,0.0170,0.0000,0.0000,73.6275,2.9362,0.0000,0.0000,81.0874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4666,0.1230,0.0000,0.0000,39.7235,0.7554,0.0000,0.0000,1.7301,0.0332,0.0000,0.0000,10.6279,0.2039,0.0000,0.0000
1923.75,296,'C418',142.2943,49.6264,2.6119,61.2673,2.6144,0.0000,0.0000,72.9243,0.7260,0.0000,0.0000,72.9243,0.7260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6205,0.0161,0.0000,0.0000,6.4822,0.0645,0.0000,0.0000,0.0000,2.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.1777,0.5618,0.0000,0.0000,0.1064,0.0053,0.0000,0.0000,61.2673,2.6144,0.0000,0.0000,72.9243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5108,0.1057,0.0000,0.0000,33.8520,0.6493,0.0000,0.0000,1.5745,0.0305,0.0000,0.0000,9.6720,0.1877,0.0000,0.0000
1924.75,296,'C418',141.0323,52.9549,2.7871,47.6302,2.3070,0.0000,0.0000,84.0619,0.9915,0.0000,0.0000,84.0619,0.9915,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8680,0.0220,0.0000,0.0000,7.4722,0.0881,0.0000,0.0000,0.0000,2.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0899,0.5152,0.0000,0.0000,0.3980,0.0180,0.0000,0.0000,47.6302,2.3070,0.0000,0.0000,84.0619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6628,0.1084,0.0000,0.0000,34.7856,0.6657,0.0000,0.0000,1.8713,0.0359,0.0000,0.0000,11.4952,0.2204,0.0000,0.0000
1925.75,296,'C418',142.7855,49.0244,2.5802,58.1401,2.6293,0.0000,0.0000,76.1808,0.8178,0.0000,0.0000,76.1808,0.8178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6929,0.0182,0.0000,0.0000,6.7716,0.0727,0.0000,0.0000,0.0000,2.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.1536,0.7194,0.0000,0.0000,0.2591,0.0118,0.0000,0.0000,58.1401,2.6293,0.0000,0.0000,76.1808,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4067,0.1048,0.0000,0.0000,33.2129,0.6437,0.0000,0.0000,1.5924,0.0313,0.0000,0.0000,9.7820,0.1924,0.0000,0.0000
1926.75,296,'C418',145.5662,54.4011,2.8632,60.4946,2.6145,0.0000,0.0000,76.5644,0.7811,0.0000,0.0000,76.5644,0.7811,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7014,0.0174,0.0000,0.0000,6.8057,0.0694,0.0000,0.0000,0.0000,2.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.9776,0.2252,0.0000,0.0000,0.3270,0.0143,0.0000,0.0000,60.4946,2.6145,0.0000,0.0000,76.5644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.7773,0.1106,0.0000,0.0000,35.4889,0.6794,0.0000,0.0000,1.9586,0.0378,0.0000,0.0000,12.0315,0.2322,0.0000,0.0000
1927.75,296,'C418',131.2042,47.7671,2.5141,53.1326,2.4303,0.0000,0.0000,70.2645,0.7640,0.0000,0.0000,70.2645,0.7640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5614,0.0170,0.0000,0.0000,6.2457,0.0679,0.0000,0.0000,0.0000,2.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.3805,0.7084,0.0000,0.0000,0.9065,0.0395,0.0000,0.0000,53.1326,2.4303,0.0000,0.0000,70.2645,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2331,0.1006,0.0000,0.0000,32.1461,0.6181,0.0000,0.0000,1.5803,0.0305,0.0000,0.0000,9.7076,0.1874,0.0000,0.0000
1928.75,296,'C418',139.5425,47.9422,2.5233,56.3108,2.4590,0.0000,0.0000,74.9085,0.7783,0.0000,0.0000,74.9085,0.7783,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6646,0.0173,0.0000,0.0000,6.6585,0.0692,0.0000,0.0000,0.0000,2.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5313,0.6762,0.0000,0.0000,0.7096,0.0326,0.0000,0.0000,56.3108,2.4590,0.0000,0.0000,74.9085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3365,0.1011,0.0000,0.0000,32.7814,0.6213,0.0000,0.0000,1.5114,0.0288,0.0000,0.0000,9.2841,0.1772,0.0000,0.0000
1929.75,296,'C418',158.7445,57.2369,3.0125,68.3456,2.8501,0.0000,0.0000,81.3590,0.7916,0.0000,0.0000,81.3590,0.7916,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8080,0.0176,0.0000,0.0000,7.2319,0.0704,0.0000,0.0000,0.0000,2.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.7021,0.4035,0.0000,0.0000,0.0983,0.0046,0.0000,0.0000,68.3456,2.8501,0.0000,0.0000,81.3590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4207,0.1236,0.0000,0.0000,39.4412,0.7594,0.0000,0.0000,1.7611,0.0344,0.0000,0.0000,10.8179,0.2111,0.0000,0.0000
1930.75,296,'C418',152.7904,55.9432,2.9444,67.4472,2.8500,0.0000,0.0000,76.8089,0.7499,0.0000,0.0000,76.8089,0.7499,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7069,0.0167,0.0000,0.0000,6.8275,0.0667,0.0000,0.0000,0.0000,2.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.5689,0.3284,0.0000,0.0000,0.2448,0.0109,0.0000,0.0000,67.4472,2.8500,0.0000,0.0000,76.8089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9616,0.1150,0.0000,0.0000,36.6214,0.7063,0.0000,0.0000,1.9963,0.0386,0.0000,0.0000,12.2628,0.2373,0.0000,0.0000
