"year","Cinput","Ninput","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num","scenario_abbrev","scenario_description"
2003,40.162,0.879,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2004,61.767,1.495,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2005,114.418,1.721,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2006,48.321,1.01,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2007,12.834,0.211,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2008,29.978,0.475,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2009,37.192,0.571,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2010,30.983,0.424,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2011,47.439,0.849,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2012,27.853,0.353,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2013,41.755,0.811,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2014,34.631,0.461,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2015,58.53,1.055,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2016,34.501,0.349,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2017,47.17,0.92,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2018,38.109,0.501,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2019,33.736,0.608,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2020,38.484,0.522,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2021,41.597,0.782,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2022,39.637,0.56,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2022,0,0,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2023,46.068,0.822,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2024,43.135,0.604,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2025,60.079,1.091,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2026,44.796,0.535,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2027,37,0.673,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2028,42.26,0.562,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2029,61.203,1.083,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2030,40.103,0.487,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2031,54.873,1.013,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2032,53.658,0.711,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2033,61.645,1.068,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2034,49.634,0.58,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2035,38.862,0.685,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2036,44.692,0.571,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2037,69.38,1.2,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2038,44.566,0.447,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2039,57.068,1.049,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2040,34.262,0.383,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2041,44.11,0.858,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2042,44.031,0.587,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2043,71.251,1.259,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2044,48.187,0.5,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2045,52.118,0.965,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2046,51.192,0.697,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2047,40.848,0.653,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2048,49.605,0.717,"Daycent","1_7",1,7,"","CN","Continuous Crop"
2049,47.346,0.798,"Daycent","1_7",1,7,"","CN","Continuous Crop"
