"year","Cinput","Ninput","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num","scenario_abbrev","scenario_description"
2003,40.162,0.879,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2004,61.767,1.495,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2005,114.418,1.721,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2006,48.321,1.01,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2007,12.834,0.211,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2008,29.978,0.475,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2009,37.192,0.571,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2010,30.983,0.424,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2011,47.439,0.849,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2012,27.853,0.353,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2013,41.755,0.811,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2014,34.631,0.461,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2015,58.53,1.055,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2016,34.501,0.349,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2017,47.17,0.92,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2018,38.109,0.501,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2019,33.736,0.608,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2020,38.484,0.522,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2021,41.597,0.782,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2022,39.637,0.56,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2022,0,0,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2023,31.326,0.544,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2024,32.637,0.395,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2025,51.545,0.973,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2026,36.995,0.472,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2027,38.427,0.758,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2028,50.539,0.768,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2029,67.529,1.124,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2030,48.953,0.532,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2031,33.372,0.548,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2032,39.192,0.622,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2033,56.59,1,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2034,49.199,0.627,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2035,44.898,0.763,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2036,40.133,0.497,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2037,52.226,0.951,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2038,46.799,0.59,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2039,56.396,1.002,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2040,50.769,0.65,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2041,61.832,1.054,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2042,46.857,0.612,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2043,55.12,0.939,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2044,46.941,0.662,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2045,55.836,0.928,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2046,43.159,0.472,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2047,51.842,0.913,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2048,53.267,0.695,"Daycent","5_7",5,7,"","CN","Continuous Crop"
2049,51.63,0.85,"Daycent","5_7",5,7,"","CN","Continuous Crop"
