"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha","N2O_Mgha","CH4_Mgha","CO2e_SOC","CO2e_N2O","CO2e_CH4","scenario_abbrev","GWP"
"APSIM",1,54,"1_54",NA,NA,NA,0,8.94216,0.0198380689655162,-16.0850321736,NA,4.8,-0.0741846153845991,-0.489092957746514,0.00894216,-0.0160850321736,0,3.83618664,-0.5790611582496,"RR50-NT-CR",3.2571254817504
"Daycent",1,54,"1_54",NA,NA,NA,3.6,9.0645889,0.014356583448275,-16.0850321736,-0.0251208990298821,11.6,-0.183643888888898,0.422934427350459,0.0090645889,-0.0160850321736,-13.2,3.8887086381,-0.5790611582496,"RR50-NT-CR",-9.8903525201496
"RothC",1,54,"1_54",NA,NA,NA,-0.0477499999999997,9.00337445,NA,-16.0850321736,NA,6.2226,NA,NA,0.00900337445,-0.0160850321736,0.175083333333332,3.86244763905,-0.5790611582496,"RR50-NT-CR",3.45846981413373
"APSIM",1,55,"1_55",NA,NA,NA,0.199999999999999,10.79229,0.0434524137931026,-15.7807219911,NA,6.1,0.141815384615407,-0.530945966709382,0.01079229,-0.0157807219911,-0.73333333333333,4.62989241,-0.5681059916796,"RR25-NT-CR",3.32845308498707
"Daycent",1,55,"1_55",NA,NA,NA,4.2,9.0839254,0.0216109806896543,-15.7807219911,-0.0232205645379272,12.2,-0.18490522222223,0.545043555555587,0.0090839254,-0.0157807219911,-15.4,3.8970039966,-0.5681059916796,"RR25-NT-CR",-12.0711019950796
"RothC",1,55,"1_55",NA,NA,NA,-0.0347,9.9381077,NA,-15.7807219911,NA,6.21915,NA,NA,0.0099381077,-0.0157807219911,0.127233333333333,4.2634482033,-0.5681059916796,"RR25-NT-CR",3.82257554495373
"APSIM",1,56,"1_56",NA,NA,NA,0.3,13.01359,0.0590862068965516,-15.4795415376,NA,7.6,0.258984615384637,-0.505400000000002,0.01301359,-0.0154795415376,-1.1,5.58283011,-0.5572634953536,"RR00-NT-CR",3.9255666146464
"Daycent",1,56,"1_56",NA,NA,NA,4.8,9.0815289,0.0248294524137923,-15.4795415376,-0.0192196229402257,12.8,-0.180366333333341,0.641945230769267,0.0090815289,-0.0154795415376,-17.6,3.8959758981,-0.5572634953536,"RR00-NT-CR",-14.2612875972536
"RothC",1,56,"1_56",NA,NA,NA,-0.0173000000000005,11.04755945,NA,-15.4795415376,NA,6.22075,NA,NA,0.01104755945,-0.0154795415376,0.0634333333333352,4.73940300405,-0.5572634953536,"RR00-NT-CR",4.24557284202974
"APSIM",1,61,"1_61",NA,NA,NA,-0.800000000000001,9.20875,-0.0133971034482771,NA,NA,10,-0.141550000000002,0.363261538461522,0.00920875,NA,2.93333333333334,3.95055375,NA,"BC19-CR",6.88388708333334
"APSIM",1,62,"1_62",NA,NA,NA,-1.6,9.18098,-0.019046206896553,NA,NA,14,-0.175200000000002,0.412430769230756,0.00918098,NA,5.86666666666667,3.93864042,NA,"BC38-CR",9.80530708666667
"APSIM",1,63,"1_63",NA,NA,NA,-2.3,9.05547,-0.0186040000000014,NA,NA,18,-0.230350000000001,0.487507692307673,0.00905547,NA,8.43333333333333,3.88479663,NA,"BC57-CR",12.3181299633333
"APSIM",1,64,"1_64",NA,NA,NA,-2.9,8.92766,-0.014764827586208,NA,NA,22.2,-0.221300000000003,0.380892307692299,0.00892766,NA,10.6333333333333,3.82996614,NA,"BC76-CR",14.4632994733333
"APSIM",1,65,"1_65",NA,NA,NA,-3.9,8.80432,0.00191655172413713,NA,NA,26.3,-0.178200000000002,0.584338461538444,0.00880432,NA,14.3,3.77705328,NA,"BC96-CR",18.07705328
"APSIM",1,7,"1_7",NA,NA,NA,0.4,12.84437,0.00131875862068659,-16.12841952,NA,7.5,-0.135875862068975,NA,0.01284437,-0.01612841952,-1.46666666666667,5.51023473,-0.58062310272,"CN",3.46294496061333
"Daycent",1,7,"1_7",NA,NA,NA,-0.199999999999999,8.0724696,0.0251308634482764,-16.12841952,-0.0094178455172374,7.6,0.169347463601534,NA,0.0080724696,-0.01612841952,0.73333333333333,3.4630894584,-0.58062310272,"CN",3.61579968901333
