"year","SorghumYld_Mgha","CottonYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1987,0,0.137,0.8,"APSIM","5_7",5,7,""
1988,0,0.874,1.2,"APSIM","5_7",5,7,""
1989,0,0.849,1.5,"APSIM","5_7",5,7,""
1990,0,0.483,2,"APSIM","5_7",5,7,""
1991,0,0.583,2.8,"APSIM","5_7",5,7,""
1992,0,0.732,3.3,"APSIM","5_7",5,7,""
1993,0,0.404,3.7,"APSIM","5_7",5,7,""
1994,0,0.397,4,"APSIM","5_7",5,7,""
1995,0,0.479,4.3,"APSIM","5_7",5,7,""
1996,0,0.887,4.3,"APSIM","5_7",5,7,""
1997,0,0.855,4.5,"APSIM","5_7",5,7,""
1998,0,0.756,4.9,"APSIM","5_7",5,7,""
1999,0,0.525,5.2,"APSIM","5_7",5,7,""
2000,0,0.436,5.3,"APSIM","5_7",5,7,""
2001,0,0.184,5.5,"APSIM","5_7",5,7,""
2002,0,1.303,5.4,"APSIM","5_7",5,7,""
2003,0,0.88,5.6,"APSIM","5_7",5,7,""
2004,0,0.699,6.1,"APSIM","5_7",5,7,""
2005,0,1.285,6.1,"APSIM","5_7",5,7,""
2006,0,1.218,6.4,"APSIM","5_7",5,7,""
2007,0,0.658,6.7,"APSIM","5_7",5,7,""
2008,0,1.141,6.4,"APSIM","5_7",5,7,""
2009,0,0.62,6.5,"APSIM","5_7",5,7,""
2010,0,0.999,6.6,"APSIM","5_7",5,7,""
2011,0,0.006,6.7,"APSIM","5_7",5,7,""
2012,0,1.121,6.3,"APSIM","5_7",5,7,""
2013,0,1.412,6.4,"APSIM","5_7",5,7,""
2014,0,0.758,6.7,"APSIM","5_7",5,7,""
2015,0,0.67,6.5,"APSIM","5_7",5,7,""
2016,0,0.665,6.8,"APSIM","5_7",5,7,""
2017,0,1.257,6.5,"APSIM","5_7",5,7,""
2018,0,0.192,6.6,"APSIM","5_7",5,7,""
2019,0,1.273,6.4,"APSIM","5_7",5,7,""
2020,0,0.72,6.6,"APSIM","5_7",5,7,""
2021,0,0.926,6.6,"APSIM","5_7",5,7,""
2022,0,1.362,6.5,"APSIM","5_7",5,7,""
2023,0,0.846,6.5,"APSIM","5_7",5,7,""
2024,0,1.192,6.7,"APSIM","5_7",5,7,""
2025,0,1.165,7,"APSIM","5_7",5,7,""
2026,0,0.665,7.2,"APSIM","5_7",5,7,""
2027,0,1.257,7.1,"APSIM","5_7",5,7,""
2028,0,1.351,6.8,"APSIM","5_7",5,7,""
2029,0,0.031,6.7,"APSIM","5_7",5,7,""
2030,0,0.731,7,"APSIM","5_7",5,7,""
2031,0,1.358,6.9,"APSIM","5_7",5,7,""
2032,0,0.742,7,"APSIM","5_7",5,7,""
2033,0,0.676,7.1,"APSIM","5_7",5,7,""
2034,0,0.459,7,"APSIM","5_7",5,7,""
2035,0,1.291,6.8,"APSIM","5_7",5,7,""
2036,0,0.098,6.9,"APSIM","5_7",5,7,""
2037,0,1.82,6.6,"APSIM","5_7",5,7,""
2038,0,0.905,6.7,"APSIM","5_7",5,7,""
2039,0,1.072,6.6,"APSIM","5_7",5,7,""
2040,0,0.42,6.6,"APSIM","5_7",5,7,""
2041,0,0.6,6.2,"APSIM","5_7",5,7,""
2042,0,1.077,6.1,"APSIM","5_7",5,7,""
2043,0,1.187,6,"APSIM","5_7",5,7,""
2044,0,0.413,6.3,"APSIM","5_7",5,7,""
2045,0,0.893,6.3,"APSIM","5_7",5,7,""
2046,0,0.971,6.4,"APSIM","5_7",5,7,""
2047,0,0.696,6.4,"APSIM","5_7",5,7,""
2048,0,1.096,6.3,"APSIM","5_7",5,7,""
2049,0,0.885,6.6,"APSIM","5_7",5,7,""
2050,0,0.808,6.7,"APSIM","5_7",5,7,""
