"year","SorghumYld_Mgha","CottonYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1987,0,0.137,1.2,"APSIM","1_44",1,4,4
1988,0,0.595,1.6,"APSIM","1_44",1,4,4
1989,0,0.829,1.9,"APSIM","1_44",1,4,4
1990,0,0.537,2.3,"APSIM","1_44",1,4,4
1991,0,0.614,2.9,"APSIM","1_44",1,4,4
1992,0,0.734,3.7,"APSIM","1_44",1,4,4
1993,0,0.233,4.2,"APSIM","1_44",1,4,4
1994,0,0.344,4.6,"APSIM","1_44",1,4,4
1995,0,0.526,5,"APSIM","1_44",1,4,4
1996,0,1.036,5.1,"APSIM","1_44",1,4,4
1997,0,0.893,5.3,"APSIM","1_44",1,4,4
1998,0,0.774,5.6,"APSIM","1_44",1,4,4
1999,0,0.359,6,"APSIM","1_44",1,4,4
2000,0,0.434,5.9,"APSIM","1_44",1,4,4
2001,0,0.155,6.1,"APSIM","1_44",1,4,4
2002,0,0.995,6,"APSIM","1_44",1,4,4
2003,1.727,0,6.2,"APSIM","1_44",1,4,4
2004,0,0.654,6.4,"APSIM","1_44",1,4,4
2005,2.139,0,6.4,"APSIM","1_44",1,4,4
2006,0,1.422,6.6,"APSIM","1_44",1,4,4
2007,2.178,0,6.6,"APSIM","1_44",1,4,4
2008,0,0.816,6.3,"APSIM","1_44",1,4,4
2009,1.448,0,6.3,"APSIM","1_44",1,4,4
2010,0,1.098,6.3,"APSIM","1_44",1,4,4
2011,0,0.011,6.5,"APSIM","1_44",1,4,4
2012,1.568,0,6.5,"APSIM","1_44",1,4,4
2013,0,1.963,6.5,"APSIM","1_44",1,4,4
2014,1.862,0,6.7,"APSIM","1_44",1,4,4
2015,0,0.769,6.3,"APSIM","1_44",1,4,4
2016,1.472,0,6.6,"APSIM","1_44",1,4,4
2017,0,1.497,6.2,"APSIM","1_44",1,4,4
2018,0.707,0,6.4,"APSIM","1_44",1,4,4
2019,0,1.351,6.2,"APSIM","1_44",1,4,4
2020,1.516,0,6.5,"APSIM","1_44",1,4,4
2021,0,1.259,6.3,"APSIM","1_44",1,4,4
2022,1.372,0,6.4,"APSIM","1_44",1,4,4
2023,0,1.16,6.4,"APSIM","1_44",1,4,4
2024,2.418,0,6.5,"APSIM","1_44",1,4,4
2025,0,1.273,6.3,"APSIM","1_44",1,4,4
2026,1.585,0,6.6,"APSIM","1_44",1,4,4
2027,0,0.734,6.3,"APSIM","1_44",1,4,4
2028,1.493,0,6.2,"APSIM","1_44",1,4,4
2029,0,0.44,6.2,"APSIM","1_44",1,4,4
2030,2.032,0,6.2,"APSIM","1_44",1,4,4
2031,0,0.743,6.1,"APSIM","1_44",1,4,4
2032,2.529,0,6.3,"APSIM","1_44",1,4,4
2033,0,0.715,6.2,"APSIM","1_44",1,4,4
2034,0,0,6.4,"APSIM","1_44",1,4,4
2035,0,1.9,6,"APSIM","1_44",1,4,4
2036,2.608,0,6.2,"APSIM","1_44",1,4,4
2037,0,0.791,6.1,"APSIM","1_44",1,4,4
2038,2.605,0,6.3,"APSIM","1_44",1,4,4
2039,0,0.008,6.4,"APSIM","1_44",1,4,4
2040,1.649,0,6.1,"APSIM","1_44",1,4,4
2041,0,1.502,6.1,"APSIM","1_44",1,4,4
2042,1.893,0,6.3,"APSIM","1_44",1,4,4
2043,0,0.651,6,"APSIM","1_44",1,4,4
2044,1.482,0,6.3,"APSIM","1_44",1,4,4
2045,0,1.305,6.1,"APSIM","1_44",1,4,4
2046,0.707,0,6.3,"APSIM","1_44",1,4,4
2047,0,1.321,6.1,"APSIM","1_44",1,4,4
2048,1.516,0,6.4,"APSIM","1_44",1,4,4
2049,0,1.214,6.2,"APSIM","1_44",1,4,4
2050,1.369,0,6.4,"APSIM","1_44",1,4,4
