"year","crop","treatment_scen","Model","yield_val"
1990,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
1991,"Sorghum","Cover Crop, Crop Rotation","Historical",2.81856224990898
1991,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1991,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
1992,"Sorghum","Cover Crop, Crop Rotation","Historical",3.39459660844584
1992,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1992,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
1993,"Sorghum","Cover Crop, Crop Rotation","Historical",1.80346223150718
1993,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1993,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
1994,"Sorghum","Cover Crop, Crop Rotation","Historical",1.43468704131104
1994,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1994,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
1995,"Sorghum","Cover Crop, Crop Rotation","Historical",2.0254405289097
1995,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1995,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
1996,"Sorghum","Cover Crop, Crop Rotation","Historical",2.34490122553903
1996,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1996,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
1997,"Sorghum","Cover Crop, Crop Rotation","Historical",2.14357132233619
1997,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1997,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
1998,"Sorghum","Cover Crop, Crop Rotation","Historical",1.13911494252242
1998,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1998,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
1999,"Sorghum","Cover Crop, Crop Rotation","Historical",2.03438113703636
1999,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
1999,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
2000,"Sorghum","Cover Crop, Crop Rotation","Historical",1.24372753928469
2000,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
2000,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
2001,"Sorghum","Cover Crop, Crop Rotation","Historical",1.4013539592371
2001,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
2001,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
