"","APSIM_soc_range","Daycent_soc_range","RothC_soc_range","Ensemble_soc_range","Obs_soc_range","scenario","site"
"1",0.4,0.6,0.5,0.9,2.1,"CC-CR","LRF"
"2",0.7,0.5,0.3,1.1,2.3,"CC-NT-CR","LRF"
"3",1.2,0.8,0.3,1.2,0.9,"CN","LRF"
"4",0.4,0.9,0.3,0.9,1.4,"RR00-CR","LRF"
"5",0.8,0.3,0.2,0.4,3.4,"RR00-NT-CR","LRF"
