"year","SorghumYld_Mgha","CottonYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1987,0,0.137,1.2,"APSIM","1_54",1,5,4
1988,0,0.598,1.5,"APSIM","1_54",1,5,4
1989,0,0.88,1.7,"APSIM","1_54",1,5,4
1990,0,0.601,2,"APSIM","1_54",1,5,4
1991,0,0.641,2.5,"APSIM","1_54",1,5,4
1992,0,0.672,2.9,"APSIM","1_54",1,5,4
1993,0,0.218,3.1,"APSIM","1_54",1,5,4
1994,0,0.34,3.3,"APSIM","1_54",1,5,4
1995,0,0.527,3.5,"APSIM","1_54",1,5,4
1996,0,0.816,3.6,"APSIM","1_54",1,5,4
1997,0,0.61,3.7,"APSIM","1_54",1,5,4
1998,0,0.663,3.9,"APSIM","1_54",1,5,4
1999,0,0.498,4,"APSIM","1_54",1,5,4
2000,0,0.41,3.9,"APSIM","1_54",1,5,4
2001,0,0.199,4,"APSIM","1_54",1,5,4
2002,0,0.788,4,"APSIM","1_54",1,5,4
2003,1.665,0,4.1,"APSIM","1_54",1,5,4
2004,0,0.382,4.1,"APSIM","1_54",1,5,4
2005,2.163,0,4.3,"APSIM","1_54",1,5,4
2006,0,0.883,4.4,"APSIM","1_54",1,5,4
2007,2.163,0,4.4,"APSIM","1_54",1,5,4
2008,0,0.443,4.1,"APSIM","1_54",1,5,4
2009,1.494,0,4.5,"APSIM","1_54",1,5,4
2010,0,0.312,4.3,"APSIM","1_54",1,5,4
2011,0,0.056,4.6,"APSIM","1_54",1,5,4
2012,1.052,0.067,4.6,"APSIM","1_54",1,5,4
2013,0,1.357,4.5,"APSIM","1_54",1,5,4
2014,1.982,0,4.6,"APSIM","1_54",1,5,4
2015,0,0.622,4.3,"APSIM","1_54",1,5,4
2016,1.523,0,4.6,"APSIM","1_54",1,5,4
2017,0,0.873,4.4,"APSIM","1_54",1,5,4
2018,0.744,0,4.7,"APSIM","1_54",1,5,4
2019,0,1.216,4.5,"APSIM","1_54",1,5,4
2020,1.517,0,4.7,"APSIM","1_54",1,5,4
2021,0,0.791,4.6,"APSIM","1_54",1,5,4
2022,1.387,0,4.8,"APSIM","1_54",1,5,4
2023,0,1.258,4.7,"APSIM","1_54",1,5,4
2024,2.419,0,4.9,"APSIM","1_54",1,5,4
2025,0,0.98,4.7,"APSIM","1_54",1,5,4
2026,1.395,0,4.9,"APSIM","1_54",1,5,4
2027,0,0.596,4.6,"APSIM","1_54",1,5,4
2028,1.488,0,4.6,"APSIM","1_54",1,5,4
2029,0,0.425,4.5,"APSIM","1_54",1,5,4
2030,2.033,0,4.5,"APSIM","1_54",1,5,4
2031,0,0.669,4.4,"APSIM","1_54",1,5,4
2032,2.531,0,4.6,"APSIM","1_54",1,5,4
2033,0,0.644,4.4,"APSIM","1_54",1,5,4
2034,0,0,4.9,"APSIM","1_54",1,5,4
2035,0,1.606,4.4,"APSIM","1_54",1,5,4
2036,2.593,0,4.6,"APSIM","1_54",1,5,4
2037,0,0.543,4.5,"APSIM","1_54",1,5,4
2038,2.619,0,4.7,"APSIM","1_54",1,5,4
2039,0,0.002,4.7,"APSIM","1_54",1,5,4
2040,1.651,0,4.3,"APSIM","1_54",1,5,4
2041,0,1.224,4.3,"APSIM","1_54",1,5,4
2042,1.995,0,4.6,"APSIM","1_54",1,5,4
2043,0,0.385,4.3,"APSIM","1_54",1,5,4
2044,1.529,0,4.6,"APSIM","1_54",1,5,4
2045,0,0.919,4.3,"APSIM","1_54",1,5,4
2046,0.744,0,4.7,"APSIM","1_54",1,5,4
2047,0,1.13,4.5,"APSIM","1_54",1,5,4
2048,1.517,0,4.7,"APSIM","1_54",1,5,4
2049,0,0.76,4.6,"APSIM","1_54",1,5,4
2050,1.361,0,4.8,"APSIM","1_54",1,5,4
