"year","SorghumYld_Mgha","CottonYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
2021,NA,NA,7.7,"Daycent","1_3",1,3,""
2021,2.02306222222222,NA,7.7,"Daycent","1_3",1,3,""
2022,NA,1.24258,7.9,"Daycent","1_3",1,3,""
2022,0,NA,7.9,"Daycent","1_3",1,3,""
2023,NA,NA,7.9,"Daycent","1_3",1,3,""
2023,1.44519333333333,NA,7.9,"Daycent","1_3",1,3,""
2024,NA,1.57970888888889,8.1,"Daycent","1_3",1,3,""
2024,NA,NA,8.1,"Daycent","1_3",1,3,""
2025,NA,NA,8.1,"Daycent","1_3",1,3,""
2025,1.34596444444444,NA,8.1,"Daycent","1_3",1,3,""
2026,NA,NA,8.3,"Daycent","1_3",1,3,""
2026,NA,1.04362666666667,8.3,"Daycent","1_3",1,3,""
2027,NA,NA,8.4,"Daycent","1_3",1,3,""
2027,1.38526888888889,NA,8.4,"Daycent","1_3",1,3,""
2028,NA,NA,8.4,"Daycent","1_3",1,3,""
2028,NA,1.11795777777778,8.4,"Daycent","1_3",1,3,""
2029,NA,NA,8.4,"Daycent","1_3",1,3,""
2029,1.05027777777778,NA,8.4,"Daycent","1_3",1,3,""
2030,NA,1.14830888888889,8.6,"Daycent","1_3",1,3,""
2030,NA,NA,8.6,"Daycent","1_3",1,3,""
2031,1.27255333333333,NA,8.6,"Daycent","1_3",1,3,""
2031,NA,NA,8.6,"Daycent","1_3",1,3,""
2032,NA,NA,8.8,"Daycent","1_3",1,3,""
2032,NA,1.37860666666667,8.8,"Daycent","1_3",1,3,""
2033,NA,NA,8.8,"Daycent","1_3",1,3,""
2033,1.56128444444444,NA,8.8,"Daycent","1_3",1,3,""
2034,NA,NA,9,"Daycent","1_3",1,3,""
2034,NA,1.65469777777778,9,"Daycent","1_3",1,3,""
2035,NA,NA,8.9,"Daycent","1_3",1,3,""
2035,1.49582888888889,NA,8.9,"Daycent","1_3",1,3,""
2036,NA,NA,9.1,"Daycent","1_3",1,3,""
2036,NA,1.99537111111111,9.1,"Daycent","1_3",1,3,""
2037,1.16298888888889,NA,9,"Daycent","1_3",1,3,""
2037,NA,NA,9,"Daycent","1_3",1,3,""
2038,NA,1.13860222222222,9.3,"Daycent","1_3",1,3,""
2038,NA,NA,9.3,"Daycent","1_3",1,3,""
2039,NA,NA,9.3,"Daycent","1_3",1,3,""
2039,0.648782222222222,NA,9.3,"Daycent","1_3",1,3,""
2040,NA,2.02913555555556,9.4,"Daycent","1_3",1,3,""
2040,NA,NA,9.4,"Daycent","1_3",1,3,""
2041,NA,NA,9.2,"Daycent","1_3",1,3,""
2041,1.18494666666667,NA,9.2,"Daycent","1_3",1,3,""
2042,NA,1.78745111111111,9.5,"Daycent","1_3",1,3,""
2042,NA,NA,9.5,"Daycent","1_3",1,3,""
2043,NA,NA,9.4,"Daycent","1_3",1,3,""
2043,1.28518222222222,NA,9.4,"Daycent","1_3",1,3,""
2044,NA,1.52255111111111,9.7,"Daycent","1_3",1,3,""
2044,NA,NA,9.7,"Daycent","1_3",1,3,""
2045,NA,NA,9.6,"Daycent","1_3",1,3,""
2045,1.99408888888889,NA,9.6,"Daycent","1_3",1,3,""
2046,NA,NA,9.7,"Daycent","1_3",1,3,""
2046,NA,1.36681777777778,9.7,"Daycent","1_3",1,3,""
2047,NA,NA,9.7,"Daycent","1_3",1,3,""
2047,1.84644666666667,NA,9.7,"Daycent","1_3",1,3,""
2048,NA,NA,9.7,"Daycent","1_3",1,3,""
2048,NA,0.991597777777778,9.7,"Daycent","1_3",1,3,""
2049,NA,NA,9.6,"Daycent","1_3",1,3,""
2049,1.94869111111111,NA,9.6,"Daycent","1_3",1,3,""
2050,NA,1.36727111111111,NA,"Daycent","1_3",1,3,""
2050,NA,NA,NA,"Daycent","1_3",1,3,""
