"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha"
"Daycent",1,8,"1_8",NA,NA,NA,"4.6","8.5228825","0.00810253793103344","-15.9570140652","-0.01761519827126","12.8","-0.135695222222227","0.65285422222226"
"RothC",1,8,"1_8",NA,NA,NA,"0.0130000000000008",NA,NA,NA,NA,"6.43045",NA,NA
"APSIM",5,3,"5_3",NA,NA,NA,"-0.300000000000001","11.72158","0.0167088275862086",NA,NA,"5.6","-0.21095","-0.268584615384604"
"Daycent",5,3,"5_3",NA,NA,NA,"1.4","11.2970015","0.0277244331034495","-16.72382094","-0.0156215016092003","9.3","0.404977666666671","0.703042803418811"
"RothC",5,3,"5_3",NA,NA,NA,"0.430549999999999",NA,NA,NA,NA,"7.236",NA,NA
"APSIM",5,41,"5_41",NA,NA,NA,"-0.5","12.09106","0.0239626206896542",NA,NA,"5.6","-0.496215384615411","-0.278029347826052"
"Daycent",5,41,"5_41",NA,NA,NA,"0.800000000000002","11.5756026","0.0551479448275873","-15.75338588","0.00594297946359773","8.8","0.738597111111119","0.86999883760685"
"RothC",5,41,"5_41",NA,NA,NA,"0.304",NA,NA,NA,NA,"7.03465",NA,NA
"APSIM",5,42,"5_42",NA,NA,NA,"-0.4","11.46962","0.0285554482758612",NA,NA,"5.6","-0.424400000000023","-0.274080434782576"
"Daycent",5,42,"5_42",NA,NA,NA,"0.600000000000002","11.2662101","0.049814948965518","-15.83056208","0.00401525394635621","8.6","0.676963333333333","0.804074666666679"
"RothC",5,42,"5_42",NA,NA,NA,"0.20235",NA,NA,NA,NA,"6.93285",NA,NA
"APSIM",5,43,"5_43",NA,NA,NA,"-0.5","10.84467","0.0197267586206885",NA,NA,"5.5","-0.443446153846182","-0.326253260869532"
"Daycent",5,43,"5_43",NA,NA,NA,"0.300000000000002","10.9555895","0.0428841724137937","-15.9095347","0.00181654176244805","8.3","0.615136444444445","0.73299487179488"
"RothC",5,43,"5_43",NA,NA,NA,"0.0992500000000005",NA,NA,NA,NA,"6.82955",NA,NA
"APSIM",5,44,"5_44",NA,NA,NA,"-0.6","10.24185","0.0150835862068952",NA,NA,"5.4","-0.409784615384645","-0.321124999999967"
"Daycent",5,44,"5_44",NA,NA,NA,"0","10.6318371","0.0357062593103455","-15.99161152","-0.000222573793107306","8","0.555425777777785","0.653540854700864"
"RothC",5,44,"5_44",NA,NA,NA,"-0.00450000000000017",NA,NA,NA,NA,"6.72565",NA,NA
"APSIM",5,51,"5_51",NA,NA,NA,"-0.2","8.62285","0.0309546206896548",NA,NA,"3.8","-0.207876923076943","-0.330582608695622"
"Daycent",5,51,"5_51",NA,NA,NA,"0.399999999999999","11.8739607","0.0126295337931036","-16.5789557","-0.0147016924137979","8.4","0.433034888888891","0.605448136752145"
"RothC",5,51,"5_51",NA,NA,NA,"0.1557",NA,NA,NA,NA,"6.76085",NA,NA
"APSIM",5,52,"5_52",NA,NA,NA,"-0.4","10.23722","0.0371456551724132",NA,NA,"4.6","-0.30643076923079","-0.306797826086921"
"Daycent",5,52,"5_52",NA,NA,NA,"1.4","11.5495871","0.0185827406896555","-16.3869477","-0.0118333155555599","9.4","0.540567111111109","0.69426235897437"
"RothC",5,52,"5_52",NA,NA,NA,"0.22825",NA,NA,NA,NA,"6.8963",NA,NA
"APSIM",5,53,"5_53",NA,NA,NA,"-0.5","12.42408","0.0285079999999989",NA,NA,"5.6","-0.476984615384637","-0.275282608695615"
"Daycent",5,53,"5_53",NA,NA,NA,"0.899999999999999","11.7275162","0.0579275420689673","-15.71636664","0.00673407065133719","8.9","0.76998155555556","0.900270085470098"
"RothC",5,53,"5_53",NA,NA,NA,"0.3535",NA,NA,NA,NA,"7.08425",NA,NA
