"Model","Climate_Scenario","component","BC19-CR","BC38-CR","BC57-CR","BC76-CR","BC96-CR","CC-CR","RF05-CR","RF15-CR","RF25-CR","RF35-CR","RR00-CR","RR00-NT-CR","RR25-CR","RR25-NT-CR","RR50-CR","RR50-NT-CR","component_order"
"APSIM",5,"SoilT_20cm_change",3.95255601871716,3.95257115761221,3.95256792234847,3.95258777777645,3.95245639398621,3.95325931690924,3.95135908345808,3.95135908345808,3.95133252221125,3.95132266668903,3.9525668367973,3.95217874954095,3.95135908345808,3.9497821999046,3.95133875744638,3.9497821999046,"SoilT_20cm_change"
"APSIM",5,"SW_20cm_last",0.227423267567107,0.229799274081698,0.232057206306507,0.234002790668922,0.235876105123288,0.232204044496694,0.229639213556064,0.230036311957706,0.230273440741948,0.230810089701829,0.223404395766115,0.224720282311781,0.228641516529042,0.229709097390314,0.228107771819902,0.229100801511173,"SW_20cm_last"
"APSIM",5,"SW_20cm_change",-0.0176629059527089,-0.0186963914128479,-0.0197186689572148,-0.020519720776336,-0.0212330616562288,-0.0184638898585964,-0.0182801076311455,-0.0177955785015873,-0.0174440550720665,-0.0168371468804116,-0.0178324471385214,-0.0187033175517317,-0.018500577213895,-0.0197358837692962,-0.0183690485052859,-0.0197138048327275,"SW_20cm_change"
"APSIM",5,"WFPS_10cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"CH4_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"SoilT_2cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"SoilT_5cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"SoilT_10cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"WFPS_2cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"WFPS_5cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"WFPS_10cm_last.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"WFPS_10cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"CH4_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"SoilT_2cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"SoilT_5cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"SoilT_10cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"WFPS_2cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"WFPS_5cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"WFPS_10cm_change.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
