"","CC_CR","RF05_CR","RF15_CR","RF25_CR","RF35_CR","RR00_CR","RR00_NT_CR","RR25_CR","RR25_NT_CR","RR50_CR","RR50_NT_CR","mean_all","mean_RF","mean_RR","mean_all_NT","mean_not_NT"
"co2e_gwp_clim_diff_KBS_APSIM",6.81269387103333,10.3913928903667,9.9205529082,9.78835677149997,9.623640678,10.0865052281333,9.51201420833333,7.38018309966666,6.3955796391,6.0297565882,4.76323877036667,8.24581042299091,9.93098581201666,7.83214830533333,6.89027753926667,8.75413525438749
"co2e_gwp_clim_diff_KBS_Daycent",7.1355179040667,7.3031955107,7.30355285,7.3538128586,6.7319922417667,7.2798883517,10.4910909219667,8.4350761528,9.334207297,6.2946100818667,7.92162539516663,7.78041541505758,7.17313836526668,7.33652486212223,9.24897453804443,7.22970574393751
"co2e_gwp_clim_diff_KBS_RothC",13.08350588755,7.3270942005333,7.1791195457667,6.9962514817167,6.7368164598834,7.6473634565833,8.0508858984833,7.4030962929,7.89459346805,7.1730833350333,7.4651654161,7.90517958569091,7.05982042197502,7.40784769483887,7.80354826087777,7.94329133249584
