"","CC_CR","RF05_CR","RF15_CR","RF25_CR","RF35_CR","RR00_CR","RR00_NT_CR","RR25_CR","RR25_NT_CR","RR50_CR","RR50_NT_CR","mean_all","mean_RF","mean_RR","mean_all_NT"
"co2e_soc_clim_diff_KBS_APSIM",5.13333333333333,6.9666666666667,6.6,6.6,6.6,6.2333333333333,6.2333333333333,3.6666666666667,3.3,2.2,1.4666666666667,5,6.69166666666668,4.03333333333333,3.66666666666667
"co2e_soc_clim_diff_KBS_Daycent",6.96666666666666,7.69999999999999,7.69999999999999,7.70000000000001,6.96666666666667,7.7,10.2666666666667,8.79999999999999,8.80000000000003,6.9666666666667,8.06666666666662,7.96666666666667,7.51666666666666,7.82222222222223,9.04444444444445
"co2e_soc_clim_diff_KBS_RothC",12.1594,5.81313333333334,5.71706666666667,5.57516666666667,5.34233333333337,5.93083333333335,6.29933333333333,5.7288,6.0797,5.59423333333333,5.88940000000003,6.37540000000001,5.61192500000001,5.75128888888889,6.08947777777779
