"","CC_CR","CC_NT_CR","CN","RF05_CR","RF15_CR","RF25_CR","RF35_CR","RR00_CR","RR00_NT_CR","RR25_CR","RR25_NT_CR","RR50_CR","RR50_NT_CR","mean_all","mean_RF","mean_RR","mean_RR_NT","mean_all_NT"
"co2e_soc_clim_diff_LRF_APSIM",1.1,2.56666666666666,0.733333333333337,1.83333333333333,1.46666666666667,1.46666666666667,2.2,1.46666666666667,3.66666666666666,1.46666666666667,2.2,0.733333333333333,1.1,1.69230769230769,1.74166666666667,1.22222222222222,2.32222222222222,2.38333333333333
"co2e_soc_clim_diff_LRF_Daycent",1.1,0.366666666666699,0,0,0,0,0.366666666666674,0.36666666666667,0.366666666666703,0.36666666666667,0.366666666666701,0.73333333333335,0.366666666666699,0.338461538461551,0.0916666666666685,0.488888888888897,0.366666666666701,0.3666666666667
"co2e_soc_clim_diff_LRF_RothC",-0.761016666666663,-0.173616666666666,0.0175999999999999,-0.27335,-0.25135,-0.223483333333336,-0.201116666666666,-0.28343333333334,-0.202216666666667,-0.42075,-0.2596,-0.423683333333331,-0.30305,-0.289158974358975,-0.237325000000001,-0.375955555555557,-0.254955555555556,-0.234620833333333
