"Model","Climate_Scenario","component","CC-CR","RF05-CR","RF15-CR","RF25-CR","RF35-CR","RR00-CR","RR00-NT-CR","RR25-CR","RR25-NT-CR","RR50-CR","RR50-NT-CR","component_order"
"Daycent",1,"N2O_profile_last",2.1474339961025,2.81503343580296,2.62224202266332,2.41844169569848,2.22417744310534,2.97363596873634,3.08345770097564,3.39845630990318,3.00909443320213,3.39437304938734,3.13072395079597,"N2O_profile_last"
"Daycent",1,"N2O_profile_change",-0.40403268755225,-1.39133716917824,-1.39983279757342,-1.41271124606473,-1.38268402995205,-1.3454608797473,-0.698638185661926,-0.976908754816864,-0.829975351872934,-1.0952735575681,-0.814998265326582,"N2O_profile_change"
"Daycent",1,"NO3_0to60cm_last",6.1948785770393,17.825460535892,14.4712618527786,11.8337637217986,10.1110342200144,20.4203251676322,15.123255477395,21.012028197606,15.0444009109401,19.5983383140567,15.0204443118372,"NO3_0to60cm_last"
"Daycent",1,"NO3_0to60cm_change",-3.71930632947757,-25.4512418475594,-22.8757483349226,-19.7000605624334,-15.6666258651804,-26.1298579010752,-13.952490124464,-29.0358102643178,-15.387160076575,-31.6469267800501,-16.5771759363574,"NO3_0to60cm_change"
"Daycent",1,"SoilT_20cm_last",11.6155610198535,11.3781383239387,11.3865496019931,11.3985733364221,11.4208148286947,11.3666623961186,11.4068288309158,11.9334988569092,11.6181503270344,12.3424261787697,11.9368904233843,"SoilT_20cm_last"
"Daycent",1,"SoilT_20cm_change",0.335612220976769,-0.271955980526277,-0.267756158555045,-0.261002873982736,-0.242265735359844,-0.274520751576251,0.538204489629548,-0.0561216215320464,0.626336530193697,0.106986043347291,0.773618460067366,"SoilT_20cm_change"
"Daycent",1,"SW_20cm_last",0.239591668311723,0.223214249935157,0.223220744497859,0.223278252975264,0.223137990186896,0.223132349598772,0.222752106005052,0.222626074407276,0.221122043579639,0.222453110858966,0.221258118294577,"SW_20cm_last"
"Daycent",1,"SW_20cm_change",0.014100631503532,0.0108574859070058,0.0109064702866747,0.0110398499319112,0.010890363873327,0.0108153791284912,0.00854677840645124,0.0126813538892737,0.00828762097362987,0.0136416602507022,0.0109830979566068,"SW_20cm_change"
"Daycent",1,"WFPS_10cm_last",0.567436848038122,0.545907575760115,0.545904724788775,0.546729198582077,0.546446446660235,0.545730386251466,0.539047024389544,0.541698260816343,0.5339949817379,0.540327347829386,0.53136180518908,NA
"Daycent",1,"CH4_last",0.352429881248176,0.360411515164349,0.360506036306824,0.360208016063592,0.36069674665094,0.360396903804542,0.41992576224951,0.371401599963551,0.428997585423795,0.375421008657886,0.438010134396596,NA
"Daycent",1,"SoilT_2cm_last",11.3758726169208,11.2313107668077,11.2399066832312,11.2517974670399,11.2748376346832,11.2200280649765,11.1688010251882,11.7933002705429,11.3849665457694,12.2060377533345,11.7121853601806,NA
"Daycent",1,"SoilT_5cm_last",11.420734630519,11.262474341418,11.2710165177055,11.2829258040138,11.3058172185118,11.2511856647766,11.2139099263023,11.8239164182198,11.4292408889627,12.2365310342533,11.7551087326664,NA
"Daycent",1,"SoilT_10cm_last",11.4906827106868,11.3070517020802,11.3155830570793,11.3274974005593,11.3502698504014,11.2956988217651,11.283079252837,11.8672883057358,11.4972468221689,12.279174029699,11.8210059894623,NA
"Daycent",1,"WFPS_2cm_last",0.540180409332255,0.539062654100729,0.539048255631812,0.53921944473604,0.538948790098459,0.539038491817855,0.531681349315499,0.528024988641456,0.525219665527877,0.524334029455837,0.517466673625729,NA
"Daycent",1,"WFPS_5cm_last",0.58365435965197,0.555737501811377,0.555523206161262,0.556638069271465,0.556450932120871,0.555686742001275,0.549032782337281,0.548215084130244,0.543831146127533,0.545976229725062,0.537150300558375,NA
"Daycent",1,"WFPS_10cm_last.1",0.567436848038122,0.545907575760115,0.545904724788775,0.546729198582077,0.546446446660235,0.545730386251466,0.539047024389544,0.541698260816343,0.5339949817379,0.540327347829386,0.53136180518908,NA
"Daycent",1,"WFPS_10cm_change",0.0475109730092375,0.0491851826797758,0.0493020753929327,0.050287459576555,0.0498334466213118,0.0490459108288636,0.0510430998611121,0.049954297103215,0.0469532152944103,0.0513111775780546,0.0471011573528832,NA
"Daycent",1,"CH4_change",-0.0335673523074438,-0.0402783669526766,-0.0403587733081948,-0.0409196929487413,-0.0402490671213535,-0.040161252814345,-0.0402916023894039,-0.0365697230340275,-0.036564874469509,-0.0369166684851097,-0.0304863399681679,NA
"Daycent",1,"SoilT_2cm_change",0.743238813905297,0.524166095557822,0.527813744110821,0.533253166703092,0.551312353956243,0.523443592195452,0.985124708985127,0.688539740486902,1.06374917915191,0.812664630529973,1.19923288048847,NA
"Daycent",1,"SoilT_5cm_change",0.672105590348691,0.384716432082779,0.388445422119075,0.394010595944884,0.412338742161454,0.383725181520591,0.907023024807389,0.559592655175356,0.987290312667742,0.691396660650343,1.12534019948063,NA
"Daycent",1,"SoilT_10cm_change",0.555479847356128,0.156799778784396,0.160780917782295,0.166758396278075,0.185390531615425,0.155294924498104,0.778777463374885,0.347603424161466,0.862195683610226,0.49141641287045,1.00413433542101,NA
"Daycent",1,"WFPS_2cm_change",0.0674838854193234,0.0614685241394678,0.0615257625146114,0.06176403346235,0.061246499090682,0.061163132252587,0.0541243453122038,0.0628317731477788,0.0530454872260219,0.0628863952354239,0.0499548560798287,NA
"Daycent",1,"WFPS_5cm_change",0.0554403593761424,0.0549059355463518,0.054851624295418,0.0566214694845847,0.0556565616267879,0.0551031790269987,0.0551570574515088,0.0529343888254072,0.0515645111202,0.0537512886450178,0.0445082491200977,NA
