"Model","Climate_Scenario","component","CC-CR","RF05-CR","RF15-CR","RF25-CR","RF35-CR","RR50-CR","RR25-CR","RR00-CR","RR50-NT-CR","RR25-NT-CR","RR00-NT-CR","CN","CC-NT-CR","component_order"
"Daycent",1,"N2O_profile_last",0.823404277521238,0.819581172588964,0.783033364787583,0.744556430372634,0.705363172999014,0.807004198671713,0.78299415858439,0.838028794680863,0.66074834857704,0.672722915698761,0.677169232551608,0.59164415272883,0.625940091831221,"N2O_profile_last"
"Daycent",1,"N2O_profile_change",0.035395186462133,0.0926971072621993,0.0757637650730636,0.0567007572709288,0.0363225695620899,0.00077875232800928,0.0227431698872659,0.100705304618562,0.0384804207181084,0.058778403148589,0.0681235481838098,0.0581938568164766,0.0218677025438129,"N2O_profile_change"
"Daycent",1,"NO3_0to60cm_last",3.05878256154163,3.27018686436878,3.07046260043315,2.87333379265606,2.68651981275107,4.28630074954973,3.84139382099053,3.3763020981778,2.75476981463354,2.56028702024978,2.40121326791901,2.37234541256839,1.8297723140576,"NO3_0to60cm_last"
"Daycent",1,"NO3_0to60cm_change",0.988248248697642,0.473209009317785,0.423520994661552,0.357711530524219,0.291340018681702,1.04364912165698,0.816396131222085,0.502598784348298,0.266837866952933,0.205439437375501,0.158042711583533,0.0222110033803,0.136799049351777,"NO3_0to60cm_change"
"Daycent",1,"N2O_0to60cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daycent",1,"SoilT_15cm_last",19.4749622645263,16.6209232512036,16.7514293293283,16.8984839222903,17.0657492191518,19.0832546415606,18.1027307352616,16.5619112493914,18.2160630563049,17.4719104344259,16.9430028546256,17.2083332210349,17.5630260517334,NA
"Daycent",1,"SW_15cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daycent",1,"NO3_0to60cm_last.1",3.05878256154163,3.27018686436878,3.07046260043315,2.87333379265606,2.68651981275107,4.28630074954973,3.84139382099053,3.3763020981778,2.75476981463354,2.56028702024978,2.40121326791901,2.37234541256839,1.8297723140576,NA
"Daycent",1,"WFPS_10cm_last",0.230014499856088,0.239354289061766,0.238357746230982,0.237329959757843,0.236365357254107,0.230345466618111,0.230921263647012,0.239842237848159,0.230662039052782,0.233986908751332,0.238519843681049,0.236666087049912,0.235551727008567,NA
"Daycent",1,"CH4_last",0.561709218030889,0.511995516191934,0.515985674894183,0.520220258622165,0.524464317608561,0.561592398221279,0.550036509923756,0.510070916123998,0.564493138413242,0.547745958930547,0.529925088961997,0.525039637380953,0.544485581989709,NA
"Daycent",1,"SoilT_2cm_last",19.4767960884432,16.5778683419878,16.7100238479039,16.8591451936068,17.0290582516443,19.077579002465,18.0827213920339,16.5178778370855,18.2152334502093,17.4586543607931,16.920856844342,17.1743964366966,17.5459102171017,NA
"Daycent",1,"SoilT_5cm_last",19.4805397195192,16.596180139695,16.7277698332892,16.876177769129,17.0453997614782,19.0838458103282,18.0935608525823,16.5363093015809,18.2193760908989,17.466623644077,16.9319427672766,17.1897028610853,17.5555683379665,NA
"Daycent",1,"SoilT_10cm_last",19.4802445468962,16.6049671115395,16.7362337472118,16.8842191661725,17.0528707911626,19.0850426375666,18.0975694196675,16.545315491683,18.2196032534667,17.4693506799081,16.9364170492299,17.1967057069409,17.5588604845217,NA
"Daycent",1,"WFPS_2cm_last",0.209705913880879,0.219810814890215,0.218777093127723,0.217689714415078,0.216642569759752,0.210703679938234,0.211545905761062,0.220308372416399,0.210952972281873,0.214182374658085,0.218461242949181,0.216575416179829,0.215228476998084,NA
"Daycent",1,"WFPS_5cm_last",0.212072744704148,0.221401021644953,0.220410622825456,0.219387656933679,0.218416912534898,0.212739062879302,0.213392468493813,0.221884314079089,0.213023174816959,0.216114320634989,0.220346144224518,0.218496277596038,0.217329134704308,NA
"Daycent",1,"WFPS_10cm_last.1",0.230014499856088,0.239354289061766,0.238357746230982,0.237329959757843,0.236365357254107,0.230345466618111,0.230921263647012,0.239842237848159,0.230662039052782,0.233986908751332,0.238519843681049,0.236666087049912,0.235551727008567,NA
"Daycent",1,"N2O_0to60cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daycent",1,"SoilT_15cm_change",0.145324831161055,-1.27825734955609,-1.24727729301281,-1.20652913426677,-1.14937958285153,-0.0134586171849449,-0.468807789291141,-1.28961028067237,0.702683136773537,0.285707198154576,-0.000161209173636934,-0.831203648559612,-0.192760207711387,NA
"Daycent",1,"SW_15cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daycent",1,"NO3_0to60cm_change.1",0.988248248697642,0.473209009317785,0.423520994661552,0.357711530524219,0.291340018681702,1.04364912165698,0.816396131222085,0.502598784348298,0.266837866952933,0.205439437375501,0.158042711583533,0.0222110033803,0.136799049351777,NA
"Daycent",1,"WFPS_10cm_change",-0.00509599320600387,-0.000741955348072698,-0.00130284386097729,-0.00190299239046329,-0.00242326528557785,-0.0045560122832228,-0.00462188588642118,-0.000471713520565964,-0.00643494370536932,-0.00651773192591948,-0.00512099623685042,-0.00256832632459031,-0.00444876956869467,NA
"Daycent",1,"CH4_change",-0.0278219340288296,-0.0408556443531504,-0.0389610520242795,-0.036831197257194,-0.0348060702212285,-0.0159585192673692,-0.0208314363457835,-0.0417452523440708,0.0245212796591974,0.0197658699005267,0.0125569131961719,-0.030990211642957,0.00872172666816645,NA
