"","x"
"CC_CR",0.3
"CC_NT_CR",0.8
"CN",0.2
"RF05_CR",0.6
"RF15_CR",0.5
"RF25_CR",0.5
"RF35_CR",0.9
"RR00_CR",0.6
"RR00_NT_CR",1.3
"RR25_CR",0.5
"RR25_NT_CR",0.7
"RR50_CR",0.4
"RR50_NT_CR",0.4
"mean_all",0.6
"mean_RF",0.6
"mean_RR",0.5
"mean_RR_NT",0.8
"mean_all_NT",0.8
"mean_not_NT",0.5
