"","CC_CR","RF05_CR","RF15_CR","RF25_CR","RF35_CR","RR00_CR","RR00_NT_CR","RR25_CR","RR25_NT_CR","RR50_CR","RR50_NT_CR","mean_all","mean_RF","mean_RR","mean_RR_NT","mean_all_NT"
"co2e_n2o_clim_diff_KBS_APSIM",1.68114375,3.42942171,3.32524335,3.19314996,3.02842254,3.85780395,3.28760289,3.7146681,3.10233495,3.82900518,3.30129657,3.25000845,3.24405939,3.80049241,3.23041147,3.23041147
"co2e_n2o_clim_diff_KBS_Daycent",0.170634449700001,-0.392109003,-0.391756708200001,-0.341393952899999,-0.2298925629,-0.415479593099999,0.2333462703,-0.363772180200002,0.540962607899999,-0.672807992999999,-0.140316805200001,-0.1820532246,-0.33878805675,-0.4840199221,0.211330690999999,0.211330690999999
