"diff_co2e_n2o","min_co2e_n2o","min_co2e_n2o_scen_abbr","max_co2e_n2o","max_co2e_n2o_scen_abbr","diff_co2e_ch4","min_co2e_ch4","min_co2e_ch4_scen_abbr","max_co2e_ch4","max_co2e_ch4_scen_abbr","diff_co2e_soc","min_co2e_soc","min_co2e_soc_scen_abbr","max_co2e_soc","max_co2e_soc_scen_abbr","diff_co2e_gwp","min_co2e_gwp","min_co2e_gwp_scen_abbr","max_co2e_gwp","max_co2e_gwp_scen_abbr","scenario_abbrev","site_name","Climate_Scenario"
1.3459,0,"RR00-CR",1.3459,"BC96-CR",0.04896,-0.01401,"RR00-NT-CR",0.03495,"CC-CR",20.51219,-15.73758,"BC96-CR",4.77461,"RR00-NT-CR",20.1071,-14.96294,"BC96-CR",5.14416,"Baseline","RR00-NT-CR","LRF",1
1.59145,0,"RR00-CR",1.59145,"BC76-CR",0.04979,-0.01352,"RR00-NT-CR",0.03627,"CC-CR",18.89598,-14.85427,"BC96-CR",4.04171,"CC-NT-CR",18.64817,-13.86269,"BC96-CR",4.78548,"UKESM","CC-NT-CR","LRF",5
