"","x"
"CC_CR",8.1
"RF05_CR",6.8
"RF15_CR",6.7
"RF25_CR",6.6
"RF35_CR",6.3
"RR00_CR",6.6
"RR00_NT_CR",7.6
"RR25_CR",6.1
"RR25_NT_CR",6.1
"RR50_CR",4.9
"RR50_NT_CR",5.1
"mean_all",6.4
"mean_RF",6.6
"mean_RR",5.9
"mean_all_NT",6.3
