"","x"
"CC_CR",-0.2
"CC_NT_CR",-0.2
"CN",-0.1
"RF05_CR",0.1
"RF15_CR",0.1
"RF25_CR",0.1
"RF35_CR",0.1
"RR00_CR",0.1
"RR00_NT_CR",0
"RR25_CR",0.1
"RR25_NT_CR",0
"RR50_CR",0.1
"RR50_NT_CR",0.1
"mean_all",0
"mean_RF",0.1
"mean_RR",0.1
"mean_RR_NT",0
"mean_all_NT",0
