"Model","site_name","climate_desc","Climate_Scenario","scenario_abbrev","diff_co2e_n2o","diff_co2e_ch4","diff_co2e_soc","diff_co2e_gwp"
"APSIM","LRF","UKESM",5,"RR25-NT-CR",0.23631894,-0.00324769961159999,-2.2,-1.9669287596116
"Daycent","LRF","UKESM",5,"RR25-NT-CR",-0.1572616188,-0.00324769961159999,-0.366666666666701,-0.5271759850783
"RothC","LRF","UKESM",5,"RR25-NT-CR",0.0395286606000003,-0.00324769961159999,0.2596,0.2958809609884
"APSIM","KBS","UKESM",5,"RR50-CR",-3.82900518,-0.000751408200000026,-2.2,-6.0297565882
"Daycent","KBS","UKESM",5,"RR50-CR",0.672807992999999,-0.000751408200000026,-6.9666666666667,-6.2946100818667
"RothC","KBS","UKESM",5,"RR50-CR",-1.5780985935,-0.000751408200000026,-5.59423333333333,-7.1730833350333
"APSIM","LRF","UKESM",5,"RR50-CR",0.0130287299999998,-0.00388476648000002,-0.733333333333333,-0.72418936981333
"Daycent","LRF","UKESM",5,"RR50-CR",-0.1541347236,-0.00388476648000002,-0.73333333333335,-0.89135282341335
"RothC","LRF","UKESM",5,"RR50-CR",-0.0705529968,-0.00388476648000002,0.423683333333331,0.34924557005333
"APSIM","KBS","UKESM",5,"RR50-NT-CR",-3.30129657,0.00472446630000001,-1.4666666666667,-4.76323877036667
"Daycent","KBS","UKESM",5,"RR50-NT-CR",0.140316805200001,0.00472446630000001,-8.06666666666662,-7.92162539516663
"RothC","KBS","UKESM",5,"RR50-NT-CR",-1.5804898824,0.00472446630000001,-5.88940000000003,-7.4651654161
"APSIM","LRF","UKESM",5,"RR50-NT-CR",0.0789531600000002,-0.00209142160920006,-1.1,-1.0231382616092
"Daycent","LRF","UKESM",5,"RR50-NT-CR",-0.1900171845,-0.00209142160920006,-0.366666666666699,-0.55877527277587
"RothC","LRF","UKESM",5,"RR50-NT-CR",-0.05553201225,-0.00209142160920006,0.30305,0.2454265661408
