time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
2027.25,98,'RGA56',15.9132,15.8435,0.8339,0.0000,0.0000,0.0000,0.0000,23.8543,0.4155,0.0000,0.0000,12.8198,0.2744,0.0000,0.0000,11.0345,0.1411,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0055,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.8543,0.4155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1382,0.0321,0.0000,0.0000,13.1346,0.1973,0.0000,0.0000,0.1743,0.0026,0.0000,0.0000,1.0705,0.0163,0.0000,0.0000
2027.83,306,'SORG99',153.5170,54.2678,2.8562,76.7557,2.5796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.3522,0.1445,0.0000,0.0000,61.4090,0.5779,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1663,0.0075,0.0000,0.0000,76.7557,2.5796,0.0000,0.0000,23.8543,0.4155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6524,0.1140,0.0000,0.0000,34.7221,0.7005,0.0000,0.0000,2.0499,0.0414,0.0000,0.0000,12.5924,0.2541,0.0000,0.0000
2028.25,97,'RGA56',16.6501,15.4851,0.8150,0.0000,0.0000,0.0000,0.0000,24.1098,0.3926,0.0000,0.0000,15.5811,0.3039,0.0000,0.0000,8.5287,0.0886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0212,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.1098,0.3926,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1059,0.0295,0.0000,0.0000,12.9362,0.1812,0.0000,0.0000,0.1560,0.0022,0.0000,0.0000,0.9584,0.0135,0.0000,0.0000
2028.75,287,'COT68',254.2647,60.3629,3.1770,88.0652,2.8956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.2399,0.1660,0.0000,0.0000,132.9596,0.6642,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2270,0.0099,0.0000,0.0000,88.0652,2.8956,0.0000,0.0000,24.1098,0.3926,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6591,0.1272,0.0000,0.0000,40.9058,0.7816,0.0000,0.0000,1.9744,0.0383,0.0000,0.0000,12.1282,0.2351,0.0000,0.0000
2029.25,98,'RGA56',8.7560,8.3656,0.4403,0.0000,0.0000,0.0000,0.0000,23.9858,0.2524,0.0000,0.0000,7.7359,0.1590,0.0000,0.0000,16.2499,0.0934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0365,0.0003,0.0000,0.0000,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.9858,0.2524,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1352,0.0159,0.0000,0.0000,6.9732,0.0979,0.0000,0.0000,0.0844,0.0012,0.0000,0.0000,0.5186,0.0073,0.0000,0.0000
2029.83,306,'SORG99',186.6818,56.3595,2.9663,93.3409,2.4250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.6682,0.1358,0.0000,0.0000,74.6727,0.5432,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.2398,0.1911,0.0000,0.0000,0.5147,0.0220,0.0000,0.0000,93.3409,2.4250,0.0000,0.0000,23.9858,0.2524,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2007,0.1160,0.0000,0.0000,38.0900,0.7127,0.0000,0.0000,1.8485,0.0347,0.0000,0.0000,11.3552,0.2131,0.0000,0.0000
2030.25,97,'RGA56',8.5030,7.5786,0.3989,0.0000,0.0000,0.0000,0.0000,17.5471,0.2376,0.0000,0.0000,6.8344,0.1418,0.0000,0.0000,10.7127,0.0958,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0085,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.5471,0.2376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0276,0.0149,0.0000,0.0000,6.3124,0.0913,0.0000,0.0000,0.0800,0.0012,0.0000,0.0000,0.4914,0.0072,0.0000,0.0000
2030.75,287,'COT68',78.2703,18.5767,0.9777,24.7528,1.5268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.7035,0.1058,0.0000,0.0000,42.8140,0.4233,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0127,0.0001,0.0000,0.0000,0.0014,0.0001,0.0000,0.0000,24.7528,1.5268,0.0000,0.0000,17.5471,0.2376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9974,0.0418,0.0000,0.0000,12.2695,0.2570,0.0000,0.0000,0.6551,0.0138,0.0000,0.0000,4.0243,0.0849,0.0000,0.0000
2031.25,98,'RGA56',12.3263,10.8797,0.5726,0.0000,0.0000,0.0000,0.0000,16.9324,0.3114,0.0000,0.0000,9.6632,0.2167,0.0000,0.0000,7.2692,0.0947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0038,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.9324,0.3114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4707,0.0224,0.0000,0.0000,9.0340,0.1378,0.0000,0.0000,0.1162,0.0018,0.0000,0.0000,0.7139,0.0109,0.0000,0.0000
2031.83,306,'SORG99',109.4036,38.3232,2.0170,46.4676,1.9310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.5872,0.1502,0.0000,0.0000,50.3489,0.6006,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0358,0.0016,0.0000,0.0000,46.4676,1.9310,0.0000,0.0000,16.9324,0.3114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9926,0.0814,0.0000,0.0000,24.5258,0.4998,0.0000,0.0000,1.4482,0.0297,0.0000,0.0000,8.8963,0.1824,0.0000,0.0000
