"year","Observed","Obs_sd","APSIM","Daycent","crop","treatment_scen"
2013,3.716,0.139644190713398,3.251,3.22265333333333,"Wheat","Rmv Resid 0%, Crop Rotation"
2016,5.798,0.267291456404178,5.786,3.82650666666667,"Wheat","Rmv Resid 0%, Crop Rotation"
2019,5.584,0.181421616683349,5.125,5.78884444444444,"Wheat","Rmv Resid 0%, Crop Rotation"
1989,8.112,0.43773587926968,6.758,6.68205777777778,"Maize","Rmv Resid 0%, No Till, Crop Rotation"
1991,8.026,0.330753054911566,8.213,8.31072666666667,"Maize","Rmv Resid 0%, No Till, Crop Rotation"
1993,7.09,0.633050629886741,8.028,6.02382444444444,"Maize","Rmv Resid 0%, No Till, Crop Rotation"
1996,4.041,0.990027019833297,6.789,3.91176444444444,"Maize","Rmv Resid 0%, No Till, Crop Rotation"
1999,3.804,0.284180915967276,7.268,3.64757333333333,"Maize","Rmv Resid 0%, No Till, Crop Rotation"
2002,5.221,0.376830103627616,6.179,6.13756888888889,"Maize","Rmv Resid 0%, No Till, Crop Rotation"
2005,8.805,0.858893626514173,6.319,4.88773555555556,"Maize","Rmv Resid 0%, No Till, Crop Rotation"
2008,6.516,0.475627456804868,6.697,6.32751555555556,"Maize","Rmv Resid 0%, No Till, Crop Rotation"
2011,11.52,0.736637942728086,7.965,10.1988488888889,"Maize","Rmv Resid 0%, No Till, Crop Rotation"
2014,11.437,0.456625193128894,8.829,9.09404666666667,"Maize","Rmv Resid 0%, No Till, Crop Rotation"
2017,9.927,0.979473257759836,7.649,7.20249555555556,"Maize","Rmv Resid 0%, No Till, Crop Rotation"
2020,10.293,0.646018590031794,7.16,10.4004066666667,"Maize","Rmv Resid 0%, No Till, Crop Rotation"
1990,2.973,0.164235704603678,2.428,2.08275555555556,"Soybean","Rmv Resid 0%, No Till, Crop Rotation"
1992,2.219,0.103902678823343,1.314,2.49128666666667,"Soybean","Rmv Resid 0%, No Till, Crop Rotation"
1994,2.862,0.210382271116176,2.412,2.68212666666667,"Soybean","Rmv Resid 0%, No Till, Crop Rotation"
1997,2.044,0.144096849375689,1.632,2.43384,"Soybean","Rmv Resid 0%, No Till, Crop Rotation"
2000,2.922,0.0828401774503169,2.047,2.75085555555556,"Soybean","Rmv Resid 0%, No Till, Crop Rotation"
2003,1.855,0.0875255334173977,1.957,2.04733111111111,"Soybean","Rmv Resid 0%, No Till, Crop Rotation"
2006,3.602,0.0830034396877625,1.876,2.26086444444444,"Soybean","Rmv Resid 0%, No Till, Crop Rotation"
2009,2.57,0.154909199210376,2.63,2.31169555555556,"Soybean","Rmv Resid 0%, No Till, Crop Rotation"
2012,1.884,0.128236745903817,1.95,1.38534444444444,"Soybean","Rmv Resid 0%, No Till, Crop Rotation"
2015,3.966,0.0452377460387525,3.209,3.75103333333333,"Soybean","Rmv Resid 0%, No Till, Crop Rotation"
2018,3.589,0.17961560065874,0.131,3.53441111111111,"Soybean","Rmv Resid 0%, No Till, Crop Rotation"
2021,4.18,0.144962377877848,3.688,4.38683333333333,"Soybean","Rmv Resid 0%, No Till, Crop Rotation"
1995,3.485,0.219579627925725,4.423,4.49702222222222,"Wheat","Rmv Resid 0%, No Till, Crop Rotation"
1998,2.802,0.0972404596862849,3.45,2.89913777777778,"Wheat","Rmv Resid 0%, No Till, Crop Rotation"
2001,3.726,0.285547276295888,5.747,3.84377333333333,"Wheat","Rmv Resid 0%, No Till, Crop Rotation"
2004,4.162,0.150016514646444,4.355,4.11798444444444,"Wheat","Rmv Resid 0%, No Till, Crop Rotation"
2007,4.199,0.219504797214093,4.092,3.23127111111111,"Wheat","Rmv Resid 0%, No Till, Crop Rotation"
2010,3.646,0.144821109188774,4.328,4.85574888888889,"Wheat","Rmv Resid 0%, No Till, Crop Rotation"
2013,3.033,0.27859969430469,3.27,3.51302444444444,"Wheat","Rmv Resid 0%, No Till, Crop Rotation"
2016,5.886,0.170595139633774,5.923,3.97355333333333,"Wheat","Rmv Resid 0%, No Till, Crop Rotation"
2019,5.192,0.151472686206678,5.07,6.05057555555556,"Wheat","Rmv Resid 0%, No Till, Crop Rotation"
