"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha"
"APSIM",5,41,"5_41","-6.19293888888865","0.458733333333328","-0.854537373737379","3.6","42.35823","0.795069793103466",NA,NA,"40.7",NA,NA
"Daycent",5,41,"5_41","-2.88697874747476","-0.165033382716048","1.51463130864197","-2.3","36.2713488","-0.0808342744827542","-10.207393675","-0.0222487413793113","35.3",NA,NA
"RothC",5,41,"5_41",NA,NA,NA,"-2.5791",NA,NA,NA,NA,"30.4301",NA,NA
"APSIM",5,42,"5_42","-6.18092222222191","0.459355555555547","-0.891191919191925","3.5","39.09318","0.704533103448295",NA,NA,"40.6",NA,NA
"Daycent",5,42,"5_42","-2.90242016610551","-0.167838913580248","1.4714165925926","-2.4","34.2751162","-0.0969865296551671","-10.2108687","-0.0223436819923381","35.2",NA,NA
"RothC",5,42,"5_42",NA,NA,NA,"-2.64",NA,NA,NA,NA,"30.3692",NA,NA
"APSIM",5,43,"5_43","-6.14370555555524","0.459355555555547","-0.900072727272743","3.3","36.24436","0.614440551724154",NA,NA,"40.4",NA,NA
"Daycent",5,43,"5_43","-2.91942631649835","-0.172559506172838","1.42680187654321","-2.5","32.3020631","-0.110099348965513","-10.213233125","-0.0224778068965529","35.1",NA,NA
"RothC",5,43,"5_43",NA,NA,NA,"-2.7054",NA,NA,NA,NA,"30.3038",NA,NA
"APSIM",5,44,"5_44","-6.04605555555531","0.458733333333328","-0.933503030303029","3","33.8404","0.557013931034497",NA,NA,"40.1",NA,NA
"Daycent",5,44,"5_44","-2.93640569248038","-0.172665629629631","1.37512009876542","-2.5","30.345302","-0.133855532413789","-10.216987625","-0.022562096743296","35.1",NA,NA
"RothC",5,44,"5_44",NA,NA,NA,"-2.7823",NA,NA,NA,NA,"30.2269",NA,NA
"APSIM",5,51,"5_51","-6.19286111111086","0.458888888888879","-0.420452525252529","2.7","34.6833","0.860142482758631",NA,NA,"35.4",NA,NA
"Daycent",5,51,"5_51","-3.0672372794613","-0.101205481481476","0.950197283950615","-3.7","40.1854511","-0.16270184413793","-10.4092169","-0.0198191919540252","33.9",NA,NA
"RothC",5,51,"5_51",NA,NA,NA,"-2.8371",NA,NA,NA,NA,"30.1721",NA,NA
"APSIM",5,52,"5_52","-6.19258888888857","0.459199999999996","-0.627200000000002","3.2","38.06146","0.855780413793109",NA,NA,"37.5",NA,NA
"Daycent",5,52,"5_52","-2.98944316049386","-0.108883012345673","1.26421659259259","-2.6","40.3222042","-0.154105732413791","-10.35098255","-0.02043033007663","35",NA,NA
"RothC",5,52,"5_52",NA,NA,NA,"-2.6845",NA,NA,NA,NA,"30.3247",NA,NA
