"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1989,6.741,0,0,30.6,"APSIM","1_61",1,6,1
1990,0,2.367,0,30.6,"APSIM","1_61",1,6,1
1991,7.618,0,0,31.9,"APSIM","1_61",1,6,1
1992,0,1.353,0,32,"APSIM","1_61",1,6,1
1993,7.919,0,0,32.8,"APSIM","1_61",1,6,1
1994,0,2.231,0,33.1,"APSIM","1_61",1,6,1
1995,0,0,4.229,33.4,"APSIM","1_61",1,6,1
1996,6.984,0,0,33.6,"APSIM","1_61",1,6,1
1997,0,1.62,0,34,"APSIM","1_61",1,6,1
1998,0,0,3.485,34.5,"APSIM","1_61",1,6,1
1999,6.877,0,0,34.2,"APSIM","1_61",1,6,1
2000,0,2.154,0,34.5,"APSIM","1_61",1,6,1
2001,0,0,5.52,35,"APSIM","1_61",1,6,1
2002,6.074,0,0,35.2,"APSIM","1_61",1,6,1
2003,0,1.945,0,35.5,"APSIM","1_61",1,6,1
2004,0,0,4.207,35.9,"APSIM","1_61",1,6,1
2005,5.599,0,0,35.8,"APSIM","1_61",1,6,1
2006,0,1.943,0,36.1,"APSIM","1_61",1,6,1
2007,0,0,4.041,36.4,"APSIM","1_61",1,6,1
2008,6.838,0,0,36.5,"APSIM","1_61",1,6,1
2009,0,2.68,0,36.7,"APSIM","1_61",1,6,1
2010,0,0,4.171,37.3,"APSIM","1_61",1,6,1
2011,8.067,0,0,37.3,"APSIM","1_61",1,6,1
2012,0,1.947,0,37.5,"APSIM","1_61",1,6,1
2013,0,0,3.252,37.8,"APSIM","1_61",1,6,1
2014,8.637,0,0,37.8,"APSIM","1_61",1,6,1
2015,0,3.216,0,38,"APSIM","1_61",1,6,1
2016,0,0,5.789,38.8,"APSIM","1_61",1,6,1
2017,7.749,0,0,38.7,"APSIM","1_61",1,6,1
2018,0,0.684,0,39,"APSIM","1_61",1,6,1
2019,0,0,5.125,39.2,"APSIM","1_61",1,6,1
2020,7.123,0,0,39.4,"APSIM","1_61",1,6,1
2021,0,3.661,0,39.6,"APSIM","1_61",1,6,1
2022,0,0,3.434,50.4,"APSIM","1_61",1,6,1
2023,8.434,0,0,50.5,"APSIM","1_61",1,6,1
2024,0,2.102,0,50.7,"APSIM","1_61",1,6,1
2025,0,0,5.223,50.8,"APSIM","1_61",1,6,1
2026,7.776,0,0,51,"APSIM","1_61",1,6,1
2027,0,1.797,0,51.2,"APSIM","1_61",1,6,1
2028,0,0,5.441,51.6,"APSIM","1_61",1,6,1
2029,5.948,0,0,51.8,"APSIM","1_61",1,6,1
2030,0,3.156,0,52,"APSIM","1_61",1,6,1
2031,0,0,3.883,52.4,"APSIM","1_61",1,6,1
2032,9.524,0,0,52.2,"APSIM","1_61",1,6,1
2033,0,1.773,0,52.3,"APSIM","1_61",1,6,1
2034,0,0,5.035,52.7,"APSIM","1_61",1,6,1
2035,4.26,0,0,52.6,"APSIM","1_61",1,6,1
2036,0,1.808,0,52.8,"APSIM","1_61",1,6,1
2037,0,0,4.582,53.1,"APSIM","1_61",1,6,1
2038,9.194,0,0,53.1,"APSIM","1_61",1,6,1
2039,0,3.01,0,53.2,"APSIM","1_61",1,6,1
2040,0,0,4.276,53.8,"APSIM","1_61",1,6,1
2041,9.172,0,0,53.6,"APSIM","1_61",1,6,1
2042,0,2.13,0,54,"APSIM","1_61",1,6,1
2043,0,0,5.303,54.7,"APSIM","1_61",1,6,1
2044,8.609,0,0,54.5,"APSIM","1_61",1,6,1
2045,0,2.007,0,54.5,"APSIM","1_61",1,6,1
2046,0,0,4.624,54.8,"APSIM","1_61",1,6,1
2047,7.785,0,0,54.7,"APSIM","1_61",1,6,1
2048,0,2.231,0,54.8,"APSIM","1_61",1,6,1
2049,0,0,3.412,55.3,"APSIM","1_61",1,6,1
2050,8.932,0,0,54.9,"APSIM","1_61",1,6,1
