"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1989,6.741,0,0,30.6,"APSIM","1_62",1,6,2
1990,0,2.367,0,30.6,"APSIM","1_62",1,6,2
1991,7.618,0,0,31.9,"APSIM","1_62",1,6,2
1992,0,1.353,0,32,"APSIM","1_62",1,6,2
1993,7.919,0,0,32.8,"APSIM","1_62",1,6,2
1994,0,2.231,0,33.1,"APSIM","1_62",1,6,2
1995,0,0,4.229,33.4,"APSIM","1_62",1,6,2
1996,6.984,0,0,33.6,"APSIM","1_62",1,6,2
1997,0,1.62,0,34,"APSIM","1_62",1,6,2
1998,0,0,3.485,34.5,"APSIM","1_62",1,6,2
1999,6.877,0,0,34.2,"APSIM","1_62",1,6,2
2000,0,2.154,0,34.5,"APSIM","1_62",1,6,2
2001,0,0,5.52,35,"APSIM","1_62",1,6,2
2002,6.074,0,0,35.2,"APSIM","1_62",1,6,2
2003,0,1.945,0,35.5,"APSIM","1_62",1,6,2
2004,0,0,4.207,35.9,"APSIM","1_62",1,6,2
2005,5.599,0,0,35.8,"APSIM","1_62",1,6,2
2006,0,1.943,0,36.1,"APSIM","1_62",1,6,2
2007,0,0,4.041,36.4,"APSIM","1_62",1,6,2
2008,6.838,0,0,36.5,"APSIM","1_62",1,6,2
2009,0,2.68,0,36.7,"APSIM","1_62",1,6,2
2010,0,0,4.171,37.3,"APSIM","1_62",1,6,2
2011,8.067,0,0,37.3,"APSIM","1_62",1,6,2
2012,0,1.947,0,37.5,"APSIM","1_62",1,6,2
2013,0,0,3.252,37.8,"APSIM","1_62",1,6,2
2014,8.637,0,0,37.8,"APSIM","1_62",1,6,2
2015,0,3.216,0,38,"APSIM","1_62",1,6,2
2016,0,0,5.789,38.8,"APSIM","1_62",1,6,2
2017,7.749,0,0,38.7,"APSIM","1_62",1,6,2
2018,0,0.684,0,39,"APSIM","1_62",1,6,2
2019,0,0,5.125,39.2,"APSIM","1_62",1,6,2
2020,7.123,0,0,39.4,"APSIM","1_62",1,6,2
2021,0,3.661,0,39.6,"APSIM","1_62",1,6,2
2022,0,0,3.459,61.2,"APSIM","1_62",1,6,2
2023,8.421,0,0,61.3,"APSIM","1_62",1,6,2
2024,0,2.114,0,61.5,"APSIM","1_62",1,6,2
2025,0,0,5.235,61.5,"APSIM","1_62",1,6,2
2026,7.784,0,0,61.7,"APSIM","1_62",1,6,2
2027,0,1.803,0,61.9,"APSIM","1_62",1,6,2
2028,0,0,5.402,62.3,"APSIM","1_62",1,6,2
2029,6.011,0,0,62.3,"APSIM","1_62",1,6,2
2030,0,3.16,0,62.5,"APSIM","1_62",1,6,2
2031,0,0,3.892,62.9,"APSIM","1_62",1,6,2
2032,9.52,0,0,62.6,"APSIM","1_62",1,6,2
2033,0,1.778,0,62.7,"APSIM","1_62",1,6,2
2034,0,0,5.04,63,"APSIM","1_62",1,6,2
2035,4.324,0,0,62.9,"APSIM","1_62",1,6,2
2036,0,1.817,0,63.1,"APSIM","1_62",1,6,2
2037,0,0,4.589,63.3,"APSIM","1_62",1,6,2
2038,9.19,0,0,63.2,"APSIM","1_62",1,6,2
2039,0,3.011,0,63.4,"APSIM","1_62",1,6,2
2040,0,0,4.29,63.9,"APSIM","1_62",1,6,2
2041,9.182,0,0,63.7,"APSIM","1_62",1,6,2
2042,0,2.134,0,64.1,"APSIM","1_62",1,6,2
2043,0,0,5.319,64.7,"APSIM","1_62",1,6,2
2044,8.627,0,0,64.6,"APSIM","1_62",1,6,2
2045,0,2.013,0,64.5,"APSIM","1_62",1,6,2
2046,0,0,4.64,64.8,"APSIM","1_62",1,6,2
2047,7.812,0,0,64.7,"APSIM","1_62",1,6,2
2048,0,2.238,0,64.7,"APSIM","1_62",1,6,2
2049,0,0,3.445,65.2,"APSIM","1_62",1,6,2
2050,8.932,0,0,64.9,"APSIM","1_62",1,6,2
