"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha","N2O_Mgha","CH4_Mgha","CO2e_SOC","CO2e_N2O","CO2e_CH4","scenario_abbrev","GWP"
"RothC",1,53,"1_53",NA,NA,NA,-0.905699999999996,38.8965415,NA,-10.07496555,NA,32.1062,NA,NA,0.0388965415,-0.01007496555,3.32089999999998,16.6866163035,-0.3626987598,"RR00-CR",19.6448175437
"APSIM",1,54,"1_54",0.42079191919192,0.0234888888888829,-0.177389898989913,2.8,26.41577,0.77523724137932,-12.002021675,NA,40,NA,NA,0.02641577,-0.012002021675,-10.2666666666667,11.33236533,-0.4320727803,"RR50-NT-CR",0.633625883033333
"Daycent",1,54,"1_54",0.687165629629654,0.964512543209864,-0.755778074074072,2.9,37.4768589,-0.232810022068963,-12.002021675,0.037357719923365,47.9,NA,NA,0.0374768589,-0.012002021675,-10.6333333333333,16.0775724681,-0.4320727803,"RR50-NT-CR",5.01216635446667
"RothC",1,54,"1_54",NA,NA,NA,-1.3603,31.94631445,NA,-12.002021675,NA,33.9941,NA,NA,0.03194631445,-0.012002021675,4.98776666666667,13.70496889905,-0.4320727803,"RR50-NT-CR",18.2606627854167
"APSIM",1,55,"1_55",0.44573737373738,0.0242666666666604,-0.20725656565658,3.8,30.1031,0.936752275862091,-11.8438255,NA,42.6,NA,NA,0.0301031,-0.0118438255,-13.9333333333333,12.9142299,-0.426377718,"RR25-NT-CR",-1.44548115133333
"Daycent",1,55,"1_55",0.825078231200926,0.938024197530851,-0.676810469135809,4.6,36.2678777,-0.247357241379308,-11.8438255,0.0393368507662799,49.6,NA,NA,0.0362678777,-0.0118438255,-16.8666666666667,15.5589195333,-0.426377718,"RR25-NT-CR",-1.73412485136666
"RothC",1,55,"1_55",NA,NA,NA,-1.19269999999999,33.18548885,NA,-11.8438255,NA,34.1617,NA,NA,0.03318548885,-0.0118438255,4.3732333333333,14.23657471665,-0.426377718,"RR25-NT-CR",18.1834303319833
"APSIM",1,56,"1_56",1.20145454545457,0.122733333333333,-0.186836363636383,5.4,39.92417,1.18653986206898,-11.653033175,NA,47.3,NA,NA,0.03992417,-0.011653033175,-19.8,17.12746893,-0.4195091943,"RR00-NT-CR",-3.0920402643
"Daycent",1,56,"1_56",0.885676516273882,0.887820888888882,-0.368906567901234,6.3,36.3599718,-0.203349369655168,-11.653033175,0.0413475940612993,51.3,NA,NA,0.0363599718,-0.011653033175,-23.1,15.5984279022,-0.4195091943,"RR00-NT-CR",-7.9210812921
"RothC",1,56,"1_56",NA,NA,NA,-1.024,38.1420709,NA,-11.653033175,NA,34.3304,NA,NA,0.0381420709,-0.011653033175,3.75466666666667,16.3629484161,-0.4195091943,"RR00-NT-CR",19.6981058884667
"APSIM",1,61,"1_61",1.2290585858586,0.051488888888886,-0.246343434343451,4.5,37.13133,1.20158055172417,NA,NA,54.9,NA,NA,0.03713133,NA,-16.5,15.92934057,NA,"BC19-CR",-0.570659430000001
"APSIM",1,62,"1_62",1.22900202020205,0.0477555555555531,-0.224169696969714,3.7,36.22575,1.22387613793105,NA,NA,64.9,NA,NA,0.03622575,NA,-13.5666666666667,15.54084675,NA,"BC38-CR",1.97418008333333
"APSIM",1,63,"1_63",1.23177373737376,0.0429333333333322,-0.205559595959611,2.90000000000001,35.40979,1.22446206896553,NA,NA,74.7,NA,NA,0.03540979,NA,-10.6333333333334,15.19079991,NA,"BC57-CR",4.55746657666663
"APSIM",1,64,"1_64",1.22866262626265,0.0382666666666638,-0.189777777777795,2.09999999999999,34.7103,1.21263310344829,NA,NA,84.1,NA,NA,0.0347103,NA,-7.69999999999996,14.8907187,NA,"BC76-CR",7.19071870000004
"APSIM",1,65,"1_65",1.2210262626263,0.0346888888888865,-0.17591919191921,1.5,34.06046,1.19461503448276,NA,NA,93.8,NA,NA,0.03406046,NA,-5.5,14.61193734,NA,"BC96-CR",9.11193734
"APSIM",5,3,"5_3",-2.47517543859638,0.36399999999999,-0.412080808080809,2.5,21.99358,0.176149517241387,-9.826203825,NA,42.3,NA,NA,0.02199358,-0.009826203825,-9.16666666666667,9.43524582,-0.3537433377,"CC-CR",-0.0851641843666656
"Daycent",5,3,"5_3",-2.40521659259261,-0.147983111111113,1.16778839506173,-2.2,25.2831273,-0.138539797241376,-9.826203825,-0.0103886371647522,34,NA,NA,0.0252831273,-0.009826203825,8.06666666666667,10.8464616117,-0.3537433377,"CC-CR",18.5593849406667
"RothC",5,3,"5_3",NA,NA,NA,-0.429299999999998,23.63835365,NA,-9.826203825,NA,38.8573,NA,NA,0.02363835365,-0.009826203825,1.57409999999999,10.14085371585,-0.3537433377,"CC-CR",11.36121037815
"APSIM",5,41,"5_41",-6.19293888888865,0.458733333333328,-0.854537373737379,3.6,42.35823,0.795069793103466,-10.207393675,NA,40.7,NA,NA,0.04235823,-0.010207393675,-13.2,18.17168067,-0.3674661723,"RF05-CR",4.6042144977
