"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Scenario_Abbrev","SW_20cm_first","SW_20cm_change","SW_40cm_first","SW_40cm_change","SW_60cm_first","SW_60cm_change","DW_20cm_first","DW_20cm_change","DW_40cm_first","DW_40cm_change","DW_60cm_first","DW_60cm_change","DW_0to60cm_first","DW_0to60cm_change","SW_25cm_first","SW_25cm_change","DW_25cm_first","DW_25cm_change","SoilT_20cm_first","SoilT_20cm_change","SoilT_40cm_first","SoilT_40cm_change","SoilT_60cm_first","SoilT_60cm_change","SoilT_25cm_first","SoilT_25cm_change","NO3_20cm_first","NO3_20cm_change","NO3_40cm_first","NO3_40cm_change","NO3_60cm_first","NO3_60cm_change","NO3_0to60cm_first","NO3_0to60cm_change","N2O_20cm_first","N2O_20cm_change","N2O_40cm_first","N2O_40cm_change","N2O_60cm_first","N2O_60cm_change","N2O_0to60cm_first","N2O_0to60cm_change","N2O_profile_first","N2O_profile_change","BC_25cm_first","BC_25cm_change","BN_25cm_first","BN_25cm_change","HC_25cm_first","HC_25cm_change","HN_25cm_first","HN_25cm_change","CinB_25cm_first","CinB_25cm_change","CinH_25cm_first","CinH_25cm_change","CinBtoH_25cm_first","CinBtoH_25cm_change","SOC_25cm_first","SOC_25cm_change","SW_2cm_first","SW_2cm_change","SW_5cm_first","SW_5cm_change","DW_2cm_first","DW_2cm_change","DW_5cm_first","DW_5cm_change","DW_10cm_first","DW_10cm_change","WFPS_2cm_first","WFPS_2cm_change","WFPS_5cm_first","WFPS_5cm_change","WFPS_10cm_first","WFPS_10cm_change","WFPS_20cm_first","WFPS_20cm_change","WFPS_40cm_first","WFPS_40cm_change","WFPS_60cm_first","WFPS_60cm_change","SoilT_2cm_first","SoilT_2cm_change","SoilT_5cm_first","SoilT_5cm_change","SoilT_10cm_first","SoilT_10cm_change","SoilT_15cm_first","SoilT_15cm_change","NO3_2cm_first","NO3_2cm_change","NO3_5cm_first","NO3_5cm_change","NO3_10cm_first","NO3_10cm_change","CH4_first","CH4_change","CI_first","CI_change"
"APSIM",1,3,"1_3","CC-CR","0.237081518911859","0.0161390769798587","0.237997933281397","0.0164833630443702","0.237376719341748","0.0170214857874444","4.74163037823556","0.322781539598799","4.75995866563494","0.329667260880407","4.74753438684824","0.340429715735611","14.2491234306651","0.992878516268467","0.237258571255897","0.0161361807507156","0.0593133131741704","0.00406886081178569","12.2302835117681","0.964678444739642","12.0599581897044","0.926137245974928","11.9007944684565","0.887591576680183","12.1962941418362","0.956448725396706","4889.58088416277","494.780829866017","2592.71231993191","170.882006666942","2238.39740867306","110.384185681987","9720.69061276502","776.04702221767","0.175743346479732","0.278367914291289","0.104456028114265","0.17794406159612","0.106023574858192","0.129480418259306","0.386222949453328","0.585792394145577","1.18943664059732","1.03404779131391","1883.78896770362","-22.1518496826461","235.471239625247","-2.76477909915334","38489.7720590553","3997.77694966792","3207.48242031903","333.148466573425","1.28197940489756","0.159209619205745","0.141306204818953","0.0171610042597212","0.567947269586477","0.0485135046329735","40.2218984501683","3.84145838232375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,41,"1_41","RF05-CR","0.235508381846285","0.0154371637999167","0.236728371433434","0.0155915955016367","0.23677728166815","0.015591962343243","4.71016763692168","0.308743276002349","4.73456742867251","0.311831910028903","4.73554563337109","0.311839246856772","14.1802806989229","0.932414432930374","0.235751770464411","0.0153148125452894","0.0589373717258372","0.00385714854231432","12.2293128310649","0.964977056901928","12.058775751634","0.925745324531261","11.8990710996509","0.886789824866604","12.1956570569236","0.956080145977584","8042.98918364818","2322.93401942756","3886.90904300302","1724.1426390774","3209.03019308866","1955.44792198363","15138.9284197361","6002.52458049238","0.303014673766166","0.798742178147956","0.116986807503722","0.490154028496966","0.112851859790006","0.362931099151129","0.532853341060604","1.65182730579534","1.70585449784009","3.07700701640448","2125.09138700798","328.331600039039","265.634705352319","41.0422584794651","35352.3483908287","5639.31172002003","2946.02946454753","469.940594127318","1.71171691111454","0.393125845445614","0.187584084770512","0.0441482957161744","0.651922707838143","0.155071691572857","37.3450513517849","5.764806906466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,42,"1_42","RF15-CR","0.235852321389933","0.0152364448334438","0.23725501513987","0.0152010724391984","0.237257747734328","0.015271135951045","4.71704642779484","0.304728896672698","4.74510030280147","0.304021448779903","4.74515495469455","0.305422719012904","14.2073016852488","0.914173064507565","0.236100144190967","0.0151618717387227","0.0590411890669337","0.00379029935862975","12.2293128310649","0.964977056901928","12.0589078145622","0.925670020427166","11.8991369225607","0.886828118623921","12.1956631477752","0.956124610799872","7264.91819115883","2265.31089866364","3475.11626094714","1610.24708536575","2863.54498482197","1771.92815724899","13603.5794369224","5647.48614128391","0.270334237496233","0.725039606578818","0.110975138950599","0.444403574062584","0.107878968090908","0.324219405207825","0.489188344538634","1.49366258584833","1.58862217286145","2.7408126784469","2083.61240699863","331.780902579041","260.453680203343","41.4698535283712","35345.087899798","5473.44613678804","2945.42192026472","456.121218005747","1.66859701748343","0.372700224852682","0.182456116990996","0.0419986421513777","0.640050683211561","0.155600106385286","37.2936139379017","5.60824024769082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,43,"1_43","RF25-CR","0.236107621660897","0.0152960859833517","0.237689086990289","0.0150221281341033","0.237833888835883","0.0149270108476283","4.72215243321404","0.305921719670937","4.75378173981015","0.300442562677702","4.75667777672542","0.298540216944802","14.2326119497079","0.904904499335156","0.236424179643916","0.0150991482648692","0.0591230737534399","0.00377760626957162","12.2293591087042","0.964960030324177","12.0589696589","0.925678506978205","11.8991471951915","0.887034159465285","12.1956669980061","0.956173556863501","6598.91503696128","2143.10648198057","3168.26051798366","1436.38304259032","2650.22668771343","1505.21127714851","12417.4022426514","5084.70080172639","0.24479386022935","0.644991207034189","0.108560795363624","0.397202427399627","0.107190331791398","0.284535499559066","0.460544987384824","1.32672913399243","1.52498220925833","2.38831352710265","2034.59467579995","331.814585332133","254.324313886124","41.476858443751","35338.8285089524","5262.31837383362","2944.9022071219","438.529120501705","1.62618364126682","0.3486145905787","0.17759285795002","0.0397727433149093","0.624990303565972","0.155093977458977","37.2347877195072","5.404768669768",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,44,"1_44","RF35-CR","0.236492153870607","0.0152898614430458","0.238089030819748","0.015066273707867","0.238309677940767","0.0149138767466329","4.72984307740892","0.305797228864135","4.76178061639802","0.30132547415428","4.76619355882303","0.298277534924963","14.2578172525881","0.905400237985289","0.236831370998626","0.0150910344375583","0.0592077903839158","0.00379286900560016","12.229446615902","0.9648605446295","12.0591406465955","0.925468706813778","11.8992913328719","0.887047998907676","12.195670794762","0.956222609877614","5995.10389101354","1975.95535997961","2919.97684941901","1286.59463953382","2494.43011659845","1309.81801454213","11409.51085702","4572.36801406653","0.224261818712599","0.560955214538853","0.107899827787613","0.351024362551559","0.108121649764084","0.249821655154544","0.440283296265175","1.16180123224408","1.489268161435","2.07832545960899","1981.61615917185","322.999054392187","247.702732271813","40.3728209542635","35336.8676009907","5007.66348100023","2944.7395428832","417.304212949638","1.58138798265902","0.316661345860667","0.172591028020673","0.0363511765874543","0.608862841716993","0.154597768225929","37.1754130761212","5.1507698539353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,51,"1_51","RR50-CR","0.233600082694408","0.0166952273604283","0.235284922986744","0.016495863996223","0.23556098509424","0.0163780298112877","4.67200165388305","0.333904547213664","4.705698459738","0.329917279921354","4.71121970189256","0.327560596218003","14.0889198154821","0.991382423384515","0.233950005604061","0.0165127531421664","0.0585051460210851","0.00412390357716463","12.2293406596799","0.964959164022297","12.0587394632055","0.92587454791401","11.8989883571137","0.887011956466218","12.1956905432393","0.956069819871761","7521.88525927273","843.653952764636","3417.31653756233","826.677347842811","2729.96141855121","1073.83849220899","13669.1632154072","2744.16979279549","0.313996526557233","0.583319258064259","0.0816814649230601","0.395564562600959","0.0656683049398681","0.28824798226513","0.461346296421031","1.26713180292948","1.30519112333582","2.25326578958308","1263.53073153729","353.983334886474","157.939500775207","44.2475798316814","31666.0193947037","3048.7370980507","2638.834485231","254.063577690978","0.997273822447501","0.345010512202611","0.108639688739003","0.0383286285645348","0.377718557300842","0.145993210171293","32.7534973328662","3.28818489308824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,52,"1_52","RR25-CR","0.234340416368281","0.016092581160726","0.235815415320088","0.0160353325017509","0.235961226781807","0.0160439361642532","4.68680832736092","0.321851623219224","4.71630830640532","0.32070665003145","4.71922453564423","0.32087872327697","14.1223411693724","0.963436996565754","0.234665240583662","0.015924428198065","0.0586736309620857","0.00399698845347492","12.22931440859","0.964992784026759","12.0587502278102","0.925815254354246","11.8989969613112","0.886900337195486","12.1956737573011","0.956084509572982","7827.03989525301","1471.35449953771","3653.40806953587","1216.42781863973","2954.35394298203","1482.62519561004","14434.8019077865","4170.40751377187","0.314903931386003","0.678936472575971","0.0923262203521229","0.441625882558566","0.0810732599521904","0.325395020881102","0.488303411691","1.44595737601496","1.45664563852305","2.63855162325673","1594.51517670669","373.734922266976","199.314233363476","46.7180872761803","33035.0225084898","4118.3916002664","2752.91863545328","343.200587863126","1.28748326218862","0.39652139102962","0.139991735906971","0.0452242321138649","0.482630974969881","0.158911954893452","34.471950371426","4.3401208964356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,53,"1_53","RR00-CR","0.228364891325086","0.0147845678029991","0.228816959262604","0.0148566403869394","0.227596367541963","0.0149054522270062","4.56729782649673","0.29569135606497","4.57633918526037","0.297132807730497","4.55192735084975","0.298109044529634","13.6955643625672","0.890933208364768","0.228442793800207","0.0147741556017667","0.057126204175829","0.00369250290211513","12.2290724055201","0.965042500136382","12.0584731288142","0.925802987089785","11.8983998867159","0.887376963726618","12.1953088516435","0.956455559557714","8901.33385912106","2774.84361108029","4630.64525703604","1831.28879107131","4405.59617193772","1807.50100960753","17937.5752880826","6413.63341177134","0.269403980476364","0.925161072280358","0.129927156835431","0.493661547356444","0.160509777555099","0.364444946400441","0.559840914866882","1.78326756603725","1.98613873848045","3.42401595204224","2203.67503740119","329.422135358041","275.461470307766","41.175147564173","35254.9561267587","5877.12068173235","2937.91404629976","489.759246896783","1.76727786412429","0.398016024018793","0.194091435289518","0.0438412986056072","0.644935090448518","0.155980461094954","37.3305507712784","5.99616986835936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,54,"1_54","RR50-NT-CR","0.234500382242421","0.0164656252432844","0.23618229101155","0.0162003726596369","0.236392370852386","0.0160823277814661","4.69000764484374","0.329312504870362","4.72364582023483","0.324007453188906","4.72784741705293","0.321646555624119","14.1415008820953","0.974966513719583","0.23487981343044","0.0162656752537306","0.0587325296376866","0.00406480288474528","12.2286665376804","0.964626894424191","12.0570390193149","0.925253532370164","11.8959451985893","0.887150388318517","12.1944219936793","0.95603894315893","7389.03060593295","697.694075160962","3265.05138241018","744.651766907773","2639.4118643677","903.011618705397","13293.4938527182","2345.35746076679","0.340934547354368","0.608701146983483","0.0925410397205881","0.359172074637266","0.071993293004158","0.261419380758912","0.505468880080502","1.22929260237827","1.38649188970319","2.21488819944677","1291.20881445767","272.654449068565","161.401875006196","34.0807382804385","36051.4669994786","2799.96122381862","3004.28588886268","233.333093875771","1.0180318409813","0.405873629213209","0.110103813996475","0.0458233387747072","0.387554943332761","0.12070299097759","37.197831907633","2.97013601144974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,55,"1_55","RR25-NT-CR","0.235247680021821","0.0160435372373103","0.236687996412381","0.0159536899546349","0.236782416379174","0.0159310131628792","4.7049536004322","0.320870744750429","4.73375992825093","0.319073799089391","4.73564832758986","0.318620263251207","14.1743618562377","0.958564807126276","0.235581389180335","0.015853837953356","0.0588990806369745","0.00398234288010895","12.2286406769614","0.964659733687157","12.0570658907196","0.925199789560603","11.8958979156114","0.887169425572973","12.1944219936793","0.95603894315893","7645.89141301876","1383.80252141266","3454.96224742445","1171.89197041821","2810.64374474962","1359.67927787862","13911.4974051894","3915.37376971295","0.334519450512588","0.721825902600666","0.0980191961828953","0.412902317603927","0.0830422579978987","0.306575982493528","0.515580904694237","1.44130420269727","1.50066100447457","2.68279808168591","1619.36888366795","296.186680361229","202.421271547978","37.0215099624739","37366.8064857279","3885.69642714843","3113.90144893294","323.805943708714","1.30382942919824","0.493304132539363","0.141298643392809","0.0557901754503936","0.491187556202195","0.13757862626582","38.860205866731","4.04119249157042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
