LRF, NOAA weather year 1995; with weighted average clay and sampling depth'
1	1995	5.75	11.5	10.3
2	1995	8.91	4.1	22.2
3	1995	10.96	13.1	39.5
4	1995	15.85	19.8	80.9
5	1995	20.07	58.6	137.4
6	1995	24.94	59.2	202.2
7	1995	28.2	23.6	-1272.2
8	1995	26.68	53.8	214.8
9	1995	20.88	207.5	122.5
10	1995	16.31	13.2	73.5
11	1995	10.82	0	30.7
12	1995	5.85	11.9	10.3
1	1995	5.8	11.93	11.1
2	1995	9.04	4.31	23.7
3	1995	10.76	15.48	39.5
4	1995	14.75	21.33	72.9
5	1995	19.18	97.02	128.5
6	1995	23.59	49.27	184.3
7	1995	27.22	21.32	-1230.8
8	1995	27.1	40.88	-1148.6
9	1995	21.7	183.63	131.9
10	1995	16.84	12.7	79
11	1995	11	3.56	32.7
12	1995	5.78	10.66	10.6
17	10
