LRF, NOAA weather year 1988; with weighted average clay and sampling depth'
1	1988	2.4	5.7	2.6
2	1988	5.97	11.5	12
3	1988	10.06	20.2	35.8
4	1988	15.5	27.5	80.1
5	1988	20.47	67.1	144.2
6	1988	25.53	26.2	211.1
7	1988	26.28	74.5	223.4
8	1988	26.45	23.3	211.6
9	1988	21.89	58.1	134.4
10	1988	17.15	0.5	82.2
11	1988	11.07	4.8	33.5
12	1988	5.51	14.2	10.1
1	1988	2.71	6.09	3.2
2	1988	6.41	15.24	13.5
3	1988	10.52	14.22	38.7
4	1988	15.37	30.47	79
5	1988	20.25	84.31	141.6
6	1988	24.93	41.66	202.8
7	1988	25.97	88.63	219
8	1988	26.3	25.13	209.6
9	1988	22	103.88	135.5
10	1988	16.84	0	79.7
11	1988	11.34	3.55	34.9
12	1988	5.78	12.69	10.9
17	10
