'MI-Initialization, NOAA average weather 1950-1977; with weighted average clay and sampling depth'
4.6	9.48	8.64
6.57	13.28	14.99
10.37	21.35	38.98
15.92	29.19	84.42
20.65	62.99	147.16
25.22	65.77	99.31
26.28	68.01	-365.92
25.34	52.65	145.63
21.66	52.51	132.76
16.26	43.92	75.64
9.62	13.46	27.06
5.69	10.53	11.12
17	10
