LRF, NOAA weather year 1985; with weighted average clay and sampling depth'
1	1985	1.99	9.8	1.9
2	1985	5.45	6.9	10.3
3	1985	11.29	30.2	43.5
4	1985	17.23	12.2	95.8
5	1985	21.1	75.4	151.8
6	1985	24.14	114.7	192
7	1985	26.47	99.9	226.1
8	1985	27.47	16	-1163.1
9	1985	21.87	120.2	134.2
10	1985	16.21	91.5	74.7
11	1985	9.89	6.9	27.7
12	1985	3.29	4.6	4.2
1	1985	1.86	9.9	1.5
2	1985	5.19	7.37	8.9
3	1985	12.42	39.63	49.8
4	1985	17.55	21.08	97.3
5	1985	21.55	84.6	156.1
6	1985	24.5	141.21	196.3
7	1985	26.87	67.05	232
8	1985	27.37	30.72	-1159.1
9	1985	22.18	111.76	136.5
10	1985	16.41	112.51	75
11	1985	9.96	6.33	27.1
12	1985	3.82	7.86	5.1
17	10
