obs_date,treatment,material,rate_kg_ha,n_rate_kg_ha,p_rate_kg_ha,k_rate_kg_ha,date,year,rate,units,observation_type,equipment,crop,obs_code,rate_seeds_ha,rate_seeds_m2,row_spacing_mm,seed_depth_mm,cultivar
4/23/2012,T2,11-52-0 monoammonium phosphate fertilizer,76,8,17,0,4/23/2012,2012,68,lb/ac,Fertilizer application,NA,NA,MAP,NA,NA,NA,NA,NA
5/10/2012,T2,Ammonium sulfate (AMS),4,1,NA,NA,5/10/2012,2012,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
6/25/2012,T2,Ammonium sulfate (AMS),4,1,NA,NA,6/25/2012,2012,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
5/2/2013,T2,28% UAN (28-0-0),323,91,0,0,5/2/2013,2013,288,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
5/17/2013,T2,Ammonium sulfate (AMS),3,1,NA,NA,5/17/2013,2013,3,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
8/29/2013,T2,Ammonium sulfate (AMS),4,1,NA,NA,8/29/2013,2013,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/18/2014,T2,0-0-60 potash fertilizer,79,0,0,23,4/18/2014,2014,70,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/6/2014,T2,Ammonium sulfate (AMS),4,1,NA,NA,5/6/2014,2014,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
5/10/2014,T2,19-17-0 liquid fertilizer,173,33,13,0,5/10/2014,2014,154,lb/ac,Fertilizer application,NA,NA,DAP,NA,NA,NA,NA,NA
5/20/2014,T2,19-17-0 liquid fertilizer,173,33,13,0,5/20/2014,2014,154,lb/ac,Fertilizer application,NA,NA,DAP,NA,NA,NA,NA,NA
6/18/2014,T2,28% UAN (28-0-0),479,134,0,0,6/18/2014,2014,427,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
4/6/2015,T2,0-0-60 potash fertilizer,168,0,0,50,4/6/2015,2015,150,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
4/14/2015,T2,0-46-0 phosphate fertilizer,112,10,26,0,4/14/2015,2015,100,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/22/2015,T2,Ammonium sulfate (AMS),4,1,NA,NA,5/22/2015,2015,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
7/23/2015,T2,Ammonium sulfate (AMS),4,1,NA,NA,7/23/2015,2015,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
3/21/2016,T2,28% UAN (28-0-0),120,34,0,0,3/21/2016,2016,107,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
3/30/2016,T2,0-0-60 potash fertilizer,112,0,0,33,3/30/2016,2016,100,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
3/30/2016,T2,11-52-0 monoammonium phosphate fertilizer,220,24,50,0,3/30/2016,2016,196,lb/ac,Fertilizer application,NA,NA,MAP,NA,NA,NA,NA,NA
4/16/2016,T2,Ammonium sulfate (AMS),3,1,NA,NA,4/16/2016,2016,3,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/22/2016,T2,11-0-0-26,84,9,8,8,4/22/2016,2016,75,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/22/2016,T2,28% UAN (28-0-0),120,34,0,0,4/22/2016,2016,107,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
9/1/2016,T2,Ammonium sulfate (AMS),4,1,NA,NA,9/1/2016,2016,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/24/2017,T2,Ammonium sulfate (AMS),4,1,NA,NA,4/24/2017,2017,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
5/8/2017,T2,0-0-60 potash fertilizer,90,0,0,27,5/8/2017,2017,80,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2017,T2,19-17-0 liquid fertilizer,173,33,13,0,5/10/2017,2017,154,lb/ac,Fertilizer application,NA,NA,DAP,NA,NA,NA,NA,NA
5/15/2017,T2,19-17-0 liquid fertilizer,173,33,13,0,5/15/2017,2017,154,lb/ac,Fertilizer application,NA,NA,DAP,NA,NA,NA,NA,NA
6/9/2017,T2,Ammonium sulfate (AMS),4,1,NA,NA,6/9/2017,2017,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
6/21/2017,T2,28% UAN (28-0-0),491,138,0,0,6/21/2017,2017,438,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
5/8/2018,T2,Ammonium sulfate (AMS),4,1,NA,NA,5/8/2018,2018,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
5/24/2018,T2,0-0-60 potash fertilizer,135,0,0,40,5/24/2018,2018,120,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
7/12/2018,T2,Ammonium sulfate (AMS),4,1,NA,NA,7/12/2018,2018,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
3/25/2019,T2,28% UAN (28-0-0),120,34,0,0,3/25/2019,2019,107,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
3/28/2019,T2,0-0-60 potash fertilizer,112,0,0,33,3/28/2019,2019,100,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
3/28/2019,T2,11-52-0 monoammonium phosphate fertilizer,220,24,50,0,3/28/2019,2019,196,lb/ac,Fertilizer application,NA,NA,MAP,NA,NA,NA,NA,NA
4/17/2019,T2,Ammonium sulfate (AMS),4,1,NA,NA,4/17/2019,2019,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
5/5/2019,T2,12-0-0-26,84,10,0,0,5/5/2019,2019,75,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/5/2019,T2,32 % Liquid UAN (32-0-0-0),112,36,0,0,5/5/2019,2019,100,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
8/13/2019,T2,Ammonium sulfate (AMS),4,1,NA,NA,8/13/2019,2019,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
10/18/2019,T2,Ammonium sulfate (AMS),4,1,NA,NA,10/18/2019,2019,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/20/2020,T2,0-0-60,112,0,0,67,4/20/2020,2020,100,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
4/28/2020,T2,Ammonium sulfate (AMS),4,1,NA,NA,4/28/2020,2020,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
5/12/2020,T2,16.5-16.5-0-2.9 with .2 lbs/A zinc and .3 lbs/A boron starter fertilizer,206,34,34,0,5/12/2020,2020,184,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
6/18/2020,T2,28% UAN (28-0-0),491,138,0,0,6/18/2020,2020,438,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
6/24/2020,T2,28% UAN (28-0-0),281,79,0,0,6/24/2020,2020,251,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
6/25/2020,T2,Ammonium sulfate (AMS),4,1,NA,NA,6/25/2020,2020,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/27/2021,T2,0-0-60,161,0,0,97,4/27/2021,2021,144,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2021,T2,0-46-0 phosphate fertilizer,112,10,26,0,5/10/2021,2021,100,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
6/3/2021,T2,Ammonium sulfate (AMS),3,0,NA,NA,6/3/2021,2021,3,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
6/16/2021,T2,Ammonium sulfate (AMS),3,0,NA,NA,6/16/2021,2021,3,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
7/27/2021,T2,Ammonium sulfate (AMS),4,1,NA,NA,7/27/2021,2021,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
3/17/2022,T2,28% UAN (28-0-0),240,67,0,0,3/17/2022,2022,214,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
5/2/2022,T2,0-46-0 phosphate fertilizer,191,17,44,0,5/2/2022,2022,170,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/5/2022,T2,11-0-0-26,84,9,8,8,5/5/2022,2022,75,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
5/5/2022,T2,28% UAN (28-0-0),216,60,0,0,5/5/2022,2022,193,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
5/9/2022,T2,0-46-0 phosphate fertilizer,191,17,44,0,5/9/2022,2022,170,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/12/2022,T2,0-0-60,79,0,0,47,5/12/2022,2022,70,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
4/30/1990,T3,ammonium nitrate (34-0-0),83,28,0,0,4/30/1990,1990,74,lb/ac,Fertilizer application,NA,NA,NH4NO3N,NA,NA,NA,NA,NA
6/7/1991,T3,boron (B),0,0,0,0,6/7/1991,1991,0,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
4/27/1993,T3,0-0-60 potash fertilizer,103,0,0,31,4/27/1993,1993,92,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/14/1993,T3,28% UAN (28-0-0),216,60,0,0,5/14/1993,1993,193,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
6/9/1994,T3,28% UAN (28-0-0),6,2,0,0,6/9/1994,1994,5,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
4/20/1995,T3,ammonium nitrate (34-0-0),99,34,0,0,4/20/1995,1995,88,lb/ac,Fertilizer application,NA,NA,NH4NO3N,NA,NA,NA,NA,NA
3/7/1996,T3,0-0-60 potash fertilizer,112,0,0,33,3/7/1996,1996,100,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/14/1996,T3,28% UAN (28-0-0),96,27,0,0,5/14/1996,1996,86,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
5/14/1996,T3,N,28,28,NA,NA,5/14/1996,1996,25,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/10/1997,T3,0-0-60 potash fertilizer,189,0,0,56,4/10/1997,1997,169,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
4/10/1997,T3,P205,45,0,20,0,4/10/1997,1997,40,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
6/18/1997,T3,28% UAN (28-0-0),6,2,0,0,6/18/1997,1997,5,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
4/20/1998,T3,ammonium nitrate (34-0-0),83,28,0,0,4/20/1998,1998,74,lb/ac,Fertilizer application,NA,NA,NH4NO3N,NA,NA,NA,NA,NA
4/20/1999,T3,lime,1123,0,0,0,4/20/1999,1999,1002,lb/ac,Fertilizer application,NA,NA,CalciteCA,NA,NA,NA,NA,NA
5/13/1999,T3,28% UAN (28-0-0),96,27,0,0,5/13/1999,1999,86,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
5/14/1999,T3,28% UAN (28-0-0),96,27,0,0,5/14/1999,1999,86,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
10/20/2000,T3,lime,2470,0,0,0,10/20/2000,2000,2204,lb/ac,Fertilizer application,NA,NA,CalciteCA,NA,NA,NA,NA,NA
4/5/2001,T3,28% UAN (28-0-0),168,47,0,0,4/5/2001,2001,150,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
4/20/2002,T3,0-0-60 potash fertilizer,140,0,0,42,4/20/2002,2002,125,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/15/2002,T3,19-17-0 liquid fertilizer,148,28,11,0,5/15/2002,2002,132,lb/ac,Fertilizer application,NA,NA,DAP,NA,NA,NA,NA,NA
4/16/2004,T3,28% UAN (28-0-0),192,54,0,0,4/16/2004,2004,171,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
4/19/2005,T3,0-0-60 potash fertilizer,56,0,0,17,4/19/2005,2005,50,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/7/2005,T3,19-17-0 liquid fertilizer,173,33,13,0,5/7/2005,2005,154,lb/ac,Fertilizer application,NA,NA,DAP,NA,NA,NA,NA,NA
5/9/2005,T3,19-17-0 liquid fertilizer,173,33,13,0,5/9/2005,2005,154,lb/ac,Fertilizer application,NA,NA,DAP,NA,NA,NA,NA,NA
4/19/2006,T3,0-0-62 potash fertilizer,NA,NA,NA,NA,4/19/2006,2006,NA,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
7/7/2006,T3,Ammonium sulfate (AMS),NA,NA,NA,NA,7/7/2006,2006,NA,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/30/2007,T3,28% UAN (28-0-0),192,54,0,0,4/30/2007,2007,171,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
5/1/2008,T3,0-0-62 potash fertilizer,83,0,0,45,5/1/2008,2008,74,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/16/2008,T3,19-17-0 liquid fertilizer,173,33,13,0,5/16/2008,2008,154,lb/ac,Fertilizer application,NA,NA,DAP,NA,NA,NA,NA,NA
5/15/2009,T3,0-0-60 potash fertilizer,135,0,0,40,5/15/2009,2009,120,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
6/23/2009,T3,Ammonium sulfate (AMS),4,1,NA,NA,6/23/2009,2009,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/21/2010,T3,28% UAN (28-0-0),180,50,0,0,4/21/2010,2010,161,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
5/3/2010,T3,28% UAN (28-0-0),311,87,0,0,5/3/2010,2010,277,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
3/30/2011,T3,0-0-60 potash fertilizer,73,0,0,22,3/30/2011,2011,65,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/24/2011,T3,19-17-0 liquid fertilizer,173,33,13,0,5/24/2011,2011,154,lb/ac,Fertilizer application,NA,NA,DAP,NA,NA,NA,NA,NA
6/17/2011,T3,Ammonium sulfate (AMS),4,1,NA,NA,6/17/2011,2011,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
7/5/2011,T3,28% UAN (28-0-0),443,124,0,0,7/5/2011,2011,395,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
7/7/2011,T3,Ammonium sulfate (AMS),4,1,NA,NA,7/7/2011,2011,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/11/2012,T3,lime,0,0,0,0,4/11/2012,2012,0,lb/ac,Fertilizer application,NA,NA,CalciteCA,NA,NA,NA,NA,NA
4/17/2012,T3,0-0-60 potash fertilizer,103,0,0,31,4/17/2012,2012,92,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
4/23/2012,T3,11-52-0 monoammonium phosphate fertilizer,76,8,17,0,4/23/2012,2012,68,lb/ac,Fertilizer application,NA,NA,MAP,NA,NA,NA,NA,NA
4/24/2012,T3,11-52-0 monoammonium phosphate fertilizer,76,8,17,0,4/24/2012,2012,68,lb/ac,Fertilizer application,NA,NA,MAP,NA,NA,NA,NA,NA
6/22/2012,T3,Ammonium sulfate (AMS),4,1,NA,NA,6/22/2012,2012,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
5/3/2013,T3,28% UAN (28-0-0),192,54,0,0,5/3/2013,2013,171,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
8/10/2013,T3,Ammonium sulfate (AMS),4,1,NA,NA,8/10/2013,2013,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/21/2014,T3,0-0-60 potash fertilizer,79,0,0,23,4/21/2014,2014,70,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/24/2014,T3,19-17-0 liquid fertilizer,173,33,13,0,5/24/2014,2014,154,lb/ac,Fertilizer application,NA,NA,DAP,NA,NA,NA,NA,NA
4/6/2015,T3,0-0-60 potash fertilizer,168,0,0,50,4/6/2015,2015,150,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
4/14/2015,T3,0-46-0 phosphate fertilizer,112,10,26,0,4/14/2015,2015,100,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2015,T3,Ammonium sulfate (AMS),4,1,NA,NA,7/1/2015,2015,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
3/21/2016,T3,28% UAN (28-0-0),120,34,0,0,3/21/2016,2016,107,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
4/15/2016,T3,Ammonium sulfate (AMS),3,1,NA,NA,4/15/2016,2016,3,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/16/2016,T3,0-0-60 potash fertilizer,168,0,0,50,4/16/2016,2016,150,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
4/16/2016,T3,0-46-0 phosphate fertilizer,225,20,52,0,4/16/2016,2016,201,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
4/27/2016,T3,11-0-0-26,84,9,8,8,4/27/2016,2016,75,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/27/2016,T3,28% UAN (28-0-0),60,17,0,0,4/27/2016,2016,54,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
8/2/2016,T3,Ammonium sulfate (AMS),4,1,NA,NA,8/2/2016,2016,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
5/8/2017,T3,0-0-60 potash fertilizer,90,0,0,27,5/8/2017,2017,80,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/19/2017,T3,19-17-0 liquid fertilizer,173,33,13,0,5/19/2017,2017,154,lb/ac,Fertilizer application,NA,NA,DAP,NA,NA,NA,NA,NA
5/24/2017,T3,19-17-0 liquid fertilizer,173,33,13,0,5/24/2017,2017,154,lb/ac,Fertilizer application,NA,NA,DAP,NA,NA,NA,NA,NA
6/8/2017,T3,Ammonium sulfate (AMS),4,1,NA,NA,6/8/2017,2017,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
5/24/2018,T3,0-0-60 potash fertilizer,135,0,0,40,5/24/2018,2018,120,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
6/28/2018,T3,Ammonium sulfate (AMS),4,1,NA,NA,6/28/2018,2018,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
3/26/2019,T3,28% UAN (28-0-0),120,34,0,0,3/26/2019,2019,107,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
4/8/2019,T3,0-0-60 potash fertilizer,112,0,0,33,4/8/2019,2019,100,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
4/8/2019,T3,0-46-0 phosphate fertilizer,253,23,58,0,4/8/2019,2019,226,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
4/8/2019,T3,Sulfur (0-0-0-85),34,0,0,0,4/8/2019,2019,30,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
4/22/2019,T3,Ammonium sulfate (AMS),4,1,NA,NA,4/22/2019,2019,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/25/2019,T3,custom mix,34,NA,NA,NA,4/25/2019,2019,30,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/6/2019,T3,28% UAN (28-0-0),108,30,0,0,5/6/2019,2019,96,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
8/12/2019,T3,Ammonium sulfate (AMS),4,1,NA,NA,8/12/2019,2019,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/16/2020,T3,0-0-60,112,0,0,67,4/16/2020,2020,100,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/26/2020,T3,16.5-16.5-0-2.9 with .2 lbs/A zinc and .3 lbs/A boron starter fertilizer,206,34,34,0,5/26/2020,2020,184,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
6/25/2020,T3,Ammonium sulfate (AMS),4,1,NA,NA,6/25/2020,2020,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/30/2021,T3,0-0-60,150,0,0,90,4/30/2021,2021,134,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2021,T3,0-46-0 phosphate fertilizer,117,10,27,0,5/10/2021,2021,104,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
6/24/2021,T3,Ammonium sulfate (AMS),4,1,NA,NA,6/24/2021,2021,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
3/21/2022,T3,28% UAN (28-0-0),120,34,0,0,3/21/2022,2022,107,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
5/10/2022,T3,0-46-0 phosphate fertilizer,191,17,44,0,5/10/2022,2022,170,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/13/2022,T3,28% UAN (28-0-0),120,34,0,0,5/13/2022,2022,107,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
5/17/2022,T3,0-0-60 potash,79,0,0,39,5/17/2022,2022,70,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/17/2022,T3,Sulfur (0-0-0-85),28,0,0,0,5/17/2022,2022,25,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
