obs_date,treatment,material,rate_kg_ha,n_rate_kg_ha,p_rate_kg_ha,k_rate_kg_ha,date,year,rate,units,observation_type,equipment,crop,obs_code,rate_seeds_ha,rate_seeds_m2,row_spacing_mm,seed_depth_mm,cultivar
5/14/2009,T1,0-0-60 potash fertilizer,135,0,0,40,5/14/2009,2009,120,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/15/2009,T1,0-0-60 potash fertilizer,135,0,0,40,5/15/2009,2009,120,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
6/24/2009,T1,Ammonium sulfate (AMS),4,1,NA,NA,6/24/2009,2009,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/20/2010,T1,Ammonium sulfate (AMS),3,1,NA,NA,4/20/2010,2010,3,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/21/2010,T1,28% UAN (28-0-0),180,50,0,0,4/21/2010,2010,161,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
4/29/2010,T1,28% UAN (28-0-0),132,37,0,0,4/29/2010,2010,118,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
8/17/2010,T1,Ammonium sulfate (AMS),4,1,NA,NA,8/17/2010,2010,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
3/30/2011,T1,0-0-60 potash fertilizer,73,0,0,22,3/30/2011,2011,65,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2011,T1,19-17-0 liquid fertilizer,173,33,13,0,5/9/2011,2011,154,lb/ac,Fertilizer application,NA,NA,DAP,NA,NA,NA,NA,NA
6/15/2011,T1,28% UAN (28-0-0),443,124,0,0,6/15/2011,2011,395,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
4/11/2012,T1,lime,0,0,0,0,4/11/2012,2012,0,lb/ac,Fertilizer application,NA,NA,CalciteCA,NA,NA,NA,NA,NA
4/17/2012,T1,0-0-60 potash fertilizer,103,0,0,31,4/17/2012,2012,92,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
4/19/2012,T1,11-52-0 monoammonium phosphate fertilizer,76,8,17,0,4/19/2012,2012,68,lb/ac,Fertilizer application,NA,NA,MAP,NA,NA,NA,NA,NA
6/22/2012,T1,Ammonium sulfate (AMS),4,1,NA,NA,6/22/2012,2012,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
